x coordinate,y coordinate,z coordinate
106.875,42.6782707832255,58.125
106.875,40.2803264448013,60
106.875,61.6644706985068,58.125
106.875,63.3127733932503,58.125
106.875,64.6996578877793,60
108.75,40.3343439469935,60
108.75,63.3488902469828,58.125
108.75,64.7232411985209,60
110.625,40.3711081576381,60
110.625,64.7397117722928,60
112.5,42.8229962277296,58.125
112.5,40.3894676571648,60
112.5,65.0143729286849,58.125
112.5,66.4012496688315,60
114.375,42.8296466281845,58.125
114.375,40.3884456120374,60
114.375,66.3979570571739,60
116.25,42.2185370535478,60
116.25,65.0085267766666,58.125
116.25,66.3873154450916,60
118.125,44.0210370348431,60
118.125,66.3692324324134,60
120,45.7952898464,60
120,66.3437452369915,60
121.875,47.5413815364072,60
121.875,66.3110248192413,60
123.75,49.2601832584793,60
123.75,51.0357844791648,60
123.75,64.6276014569613,60
125.625,52.7150689039275,60
125.625,54.4575483140565,60
125.625,56.1818392534065,60
125.625,57.889164082046,60
125.625,59.5809188036208,60
125.625,61.2586563253941,60
125.625,62.9240676463889,60
88.125,50.0068984660025,60
86.25,49.6487212448086,61.875
88.125,47.9322451869422,61.875
88.125,51.8030616335669,60
86.25,51.464378212453,61.875
88.125,53.3620176617281,61.875
90,44.7204686855526,60
88.125,44.2909677644744,61.875
90,42.5797742443857,61.875
90,46.528803622203,60
88.125,46.1136840246324,61.875
90,48.330934635618,60
90,50.1268074375681,60
90,51.9164288960809,60
90,53.6998702906506,60
90,55.2437725698638,61.875
91.875,44.8549842366687,60
91.875,42.6945440495591,61.875
91.875,46.6591391154841,60
91.875,48.4563112262841,60
91.875,50.2464915878263,60
91.875,55.3248453607023,61.875
93.75,44.9872216257821,60
93.75,42.8074278314413,61.875
93.75,57.1818412793047,61.875
95.625,43.3102804350622,60
95.625,41.094412967296,61.875
93.75,58.9528808577621,61.875
95.625,60.7774959240936,61.875
97.5,41.2006680893044,61.875
97.5,62.5809045605529,61.875
99.375,39.4708015895558,61.875
99.375,62.6278238528778,61.875
101.25,39.56219961068,61.875
101.25,64.3992613992486,61.875
103.125,37.8016631117681,61.875
103.125,64.432364372089,61.875
105,37.8695346143757,61.875
105,66.1710066816133,61.875
106.875,37.9244912765102,61.875
106.875,66.1888277035571,61.875
108.75,37.965246314705,61.875
108.75,66.2018371790965,61.875
110.625,37.9906181253805,61.875
110.625,66.2095871250601,61.875
112.5,37.9995555590334,61.875
112.5,67.8955445402703,61.875
114.375,39.8588444202506,61.875
114.375,67.8877581642635,61.875
116.25,41.6964194699562,61.875
116.25,67.8747054205853,61.875
118.125,43.5109756610568,61.875
118.125,67.85637822479,61.875
120,43.4661094012253,61.875
120,67.832876506075,61.875
121.875,45.7311602821053,60
121.875,43.4037353613321,61.875
121.875,66.1316303384451,61.875
123.75,45.1718114886862,61.875
123.75,47.0013433135862,61.875
123.75,66.0977960647972,61.875
125.625,48.7355162813713,61.875
125.625,50.9533667147331,60
125.625,62.6894905411532,61.875
125.625,64.3777686251555,61.875
127.5,50.4494691700545,61.875
127.5,52.2372311131859,61.875
127.5,54.0076935971511,61.875
127.5,55.7617892460266,61.875
127.5,57.5006236811709,61.875
127.5,59.2254618414232,61.875
127.5,60.9377121449968,61.875
84.375,45.8998921503305,61.875
82.5,45.6128953891657,63.75
84.375,43.8578076978153,63.75
84.375,47.7279273253129,61.875
82.5,47.4536438861286,63.75
84.375,49.5527397229056,61.875
82.5,49.2925120763167,63.75
84.375,51.1991798567423,63.75
86.25,44.1791869347294,61.875
86.25,42.1099925406935,63.75
86.25,46.0059835226618,61.875
86.25,47.8292152419866,61.875
86.25,53.276104790531,61.875
84.375,53.0284798655357,63.75
86.25,54.9166118134347,63.75
88.125,42.4642551743179,61.875
88.125,40.3670097022493,63.75
88.125,55.1632089700155,61.875
88.125,56.9601125025271,61.875
86.25,56.7346841847183,63.75
88.125,58.6012762865553,63.75
90,40.4636605160696,63.75
90,57.0337410554241,61.875
90,58.6540393758117,63.75
91.875,40.5597334682303,63.75
91.875,57.1079003330357,61.875
91.875,58.8861487998743,61.875
91.875,60.5008156370293,63.75
93.75,40.9832986131816,61.875
93.75,38.8182725367347,63.75
93.75,60.548123497814,63.75
95.625,38.9104904502223,63.75
95.625,62.3719409980801,63.75
97.5,39.3712363799156,61.875
97.5,37.1569990684238,63.75
97.5,64.178434644393,63.75
99.375,37.2382298689837,63.75
99.375,64.362710656954,61.875
99.375,65.9674212877089,63.75
101.25,37.312292552509,63.75
101.25,65.9899485498015,63.75
103.125,37.3779123603565,63.75
103.125,66.0099982384923,63.75
105,37.4338276349759,63.75
105,67.7637739249489,63.75
106.875,37.4788138730152,63.75
106.875,67.7716055404778,63.75
108.75,35.6443658243285,63.75
108.75,67.7759547405947,63.75
110.625,35.6590141674999,63.75
110.625,67.7765133442276,63.75
112.5,37.5370226681599,63.75
112.5,67.773038344265,63.75
114.375,37.5276397112908,63.75
114.375,67.7653622786485,63.75
116.25,39.3797785202451,63.75
116.25,67.7534019844805,63.75
118.125,41.6637172741927,61.875
118.125,39.3447521224996,63.75
118.125,67.7371654687409,63.75
120,41.6130810802741,61.875
120,39.293651842459,63.75
120,67.716756678137,63.75
121.875,41.1081548859871,63.75
121.875,65.9865692462526,63.75
123.75,42.904504416926,63.75
123.75,44.7613482374558,63.75
123.75,65.9580625711506,63.75
125.625,46.5298520402738,63.75
125.625,64.2130366173282,63.75
127.5,48.2811767938982,63.75
127.5,50.1018826782751,63.75
127.5,58.9838539184066,63.75
127.5,60.7228777320437,63.75
127.5,62.4523869117183,63.75
129.375,51.8283327137225,63.75
129.375,53.624085594719,63.75
