Patch Number,Myocardial work value
1,14.5565670502162
2,17.3776692321791
3,16.4694149150611
4,15.4224239731496
5,18.6372363948102
6,18.328703476972
7,14.6774327962936
8,15.795434586984
9,13.0831926742205
10,13.9182087420785
11,14.7556003194678
12,16.546054182399
13,20.1829793244365
14,19.0058906599442
15,16.3742001209746
16,14.7916390757201
17,15.0972453133499
18,14.8325593476504
19,13.4570245141468
20,16.1416693221565
21,13.0657879714503
22,12.4662096643166
23,13.2121340992933
24,14.5743751033362
25,16.8405567089783
26,15.1124354514114
27,14.4457258694218
28,13.7715207938251
29,14.0918874689402
30,13.8440957664458
31,14.2224103058397
32,13.1084621057514
33,13.1547038664562
34,14.6487956580486
35,14.4268676211189
36,15.3711799778028
37,16.553716267552
38,15.9523522411221
39,16.1086559063287
40,16.0565277640247
41,15.4916639707453
42,16.419202101477
43,14.8783014610558
44,15.4221943527028
45,15.9477385625376
46,16.8001429692796
47,15.9487819297667
48,16.1348927895025
49,16.0779627124082
50,15.2841849194269
51,15.0613043283144
52,15.268512716426
53,15.618426380696
54,17.4034198716599
55,18.1170931263274
56,16.8380424230177
57,15.9391585048337
58,17.4364067054359
59,16.4127444127437
60,17.4400677849922
61,15.8201054466617
62,15.1437244402023
63,14.595881911625
64,13.7323252808386
65,14.6736743001943
66,16.2972831509271
67,15.7856128155238
68,16.6997353529711
69,16.1364191190657
70,15.9819114557595
71,15.1648589291524
72,13.2391471641655
73,14.5897282160271
74,13.8619696393406
75,16.4994508702312
76,14.4555480433364
77,15.5764351312428
78,15.7956117624438
79,15.1401730895531
80,13.7612273360279
81,13.2720877804487
82,14.7090045444474
83,14.0805222655658
84,14.2738760715737
85,14.8066300943965
86,12.9870656917483
87,15.2766185648432
88,14.496130144071
89,14.2873832731851
90,13.7742021425627
91,13.3288967663114
92,14.8441490365505
93,14.3052570367989
94,12.7170642655236
95,14.854374069426
96,12.2308084803312
97,13.3404332548902
98,14.0462899894221
99,14.9473817005302
100,14.618996870068
101,14.4778517825066
102,13.8055475293292
103,13.4053763498928
104,14.9893058812353
105,14.5319039717335
106,13.2444279593377
107,15.7121255726831
108,13.0563643661737
109,13.0573201208849
110,12.6236000644882
111,14.3522208419591
112,13.9380272102563
113,14.8290741349958
114,14.0811593896489
115,13.8520097893345
116,13.4979674387906
117,15.1391645560691
118,14.7567050902679
119,14.0740175099504
120,15.2143922547358
121,13.7027948349362
122,13.0430058415871
123,14.8076238942555
124,13.6292473261555
125,14.08969650955
126,14.3825894017179
127,13.911115247893
128,14.4649415930945
129,15.7978429334324
130,15.5148602058582
131,16.2222676277878
132,14.2043290981508
133,14.3594894372635
134,14.304672941876
135,16.854670426723
136,14.1473415258261
137,14.4296337595807
138,15.2604374020742
139,16.6400184730886
140,16.333810853229
141,14.1950378580443
142,14.2723026497016
143,13.6741473833723
144,15.7187767907484
145,17.8637047404049
146,15.2353993658749
147,14.2152337419566
148,14.7531493661035
149,15.9460263809453
150,16.7303251586895
151,15.3645595222121
152,15.6419666594566
153,17.8197098692895
154,16.7907112664059
155,19.6338271289297
156,17.472898437132
157,14.5544406761688
158,14.0770936164005
159,14.968294745204
160,14.8996527745028
161,14.7044660442318
162,14.4847422099175
163,16.3276579701298
164,16.569712162487
165,14.0401690939564
166,13.8633326856903
167,15.4261839163781
168,16.2299308292196
169,15.1895404026614
170,15.1857870263087
171,15.8901964855801
172,15.0279311052388
173,15.6233171788089
174,15.3886648296837
175,14.5818550149764
176,14.1002318408056
177,14.1913228981591
178,14.3543943978198
179,14.9085302709655
180,15.9213662408385
181,15.4658659364148
182,14.7065520477417
183,14.5206405181298
184,14.6244175729544
185,14.282472971183
186,14.3452397477869
187,14.4789180686709
188,15.4979666876108
189,16.0881532949864
190,15.1921833932742
191,15.1472872433753
192,14.8598300550125
193,15.0570356281979
194,14.8960354419512
195,14.7734608722618
196,16.3756742207657
197,17.7555242812157
198,15.3109237652428
199,15.243007025351
200,15.1974838959337
201,15.3363266083966
202,16.8223082619156
203,18.644567480583
204,16.8379281282713
205,15.4320330648417
206,15.6711157668744
207,16.4648383390596
208,17.4692545924124
209,16.1073578926241
210,17.3924117854317
211,18.1539631534987
212,16.5186682557262
213,14.9040830225578
214,12.8296405095049
215,14.5854985354751
216,14.0666372382492
217,15.6031385142516
218,16.7635571969184
219,16.1916401961836
220,16.0189154604031
221,16.2797635972444
222,14.9289158366145
223,15.2074056687882
224,14.0911723316722
225,16.0920590893869
226,15.493632015974
227,17.6974481228132
228,15.2698583785404
229,15.5213877547077
230,13.2096490431548
231,14.6454136774972
232,14.1924360303775
233,14.173963312153
234,17.0976134686787
235,14.5157435082544
236,13.1902879615131
237,15.3162329634557
238,13.725746410165
239,15.6307310680496
240,12.3974035393494
241,13.6022421997508
242,15.4992183807821
243,12.726309650891
244,16.8162752627315
245,11.6314427399701
246,13.5729717713679
247,12.3588656366219
248,12.1121629549634
249,15.5853868042768
250,11.8713913605963
251,15.9722924912517
252,12.5820436762738
253,13.1224408003884
254,14.8492626070046
255,12.1182606222281
256,15.9968790607149
257,13.6377184706177
258,17.1308082054942
259,14.514666162602
260,14.3273297178046
261,12.7718373239039
262,13.6346977770107
263,14.9106057901766
264,16.886392263997
265,17.9141823557296
266,15.6755732906637
267,14.6288312006335
268,14.5201635054668
269,14.3937352388145
270,15.4155918878005
271,14.017592174788
272,12.8067833071142
273,13.2123201797324
274,13.9734346015956
275,16.6873256227355
276,13.5492769012718
277,14.5379575080604
278,14.4487477381211
279,16.0517856105385
280,14.8233055056541
281,16.047476367715
282,18.570281719907
283,18.3051676716136
284,15.1219311149627
285,15.1766134982014
286,14.9354084782367
287,17.1155156849038
288,18.0309466841157
289,14.4100820214336
290,14.838166494668
291,17.084982531353
292,19.6717426726048
293,17.050198137495
294,15.415566812385
295,16.4021490164303
296,14.5796879964097
297,14.9866408144768
298,15.0766430213464
299,15.261896291994
300,15.4654193731479
301,15.7075506967184
302,14.9650383890008
303,15.8467208492306
304,15.1153977368136
305,15.5944246655022
306,17.9822210553279
307,15.2770055114906
308,15.8164973804231
309,15.0060454278576
310,15.2280459245728
311,15.6470014426139
312,17.6898441262004
313,19.9761869513558
314,17.8296968013249
315,14.9345239099781
316,14.5436490394462
317,15.2923272588725
318,15.7211240356442
319,16.1731406122191
320,16.6813913254901
321,17.2959752916234
322,17.3895306900251
323,15.3726630753562
324,15.1203722858758
325,16.408125955492
326,16.6929669157116
327,16.6526673847391
328,16.6134975210479
329,16.5353144532134
330,17.167683124492
331,17.0194480378945
332,17.0828289677965
333,18.4426471420036
334,15.1605265124531
335,15.1163808103613
336,15.2935594154022
337,18.7151841984536
338,17.0166871871404
339,16.2292917880155
340,16.447726793294
341,17.1532651134985
342,17.5374780742549
343,15.3825038513405
344,15.4204801208373
345,15.865797943985
346,19.3575739835944
347,17.9329796327406
348,16.9807712103189
349,15.7659935852766
350,16.2411606897296
351,16.3001138858095
352,16.7172261495935
353,17.662606416836
354,19.5592599741632
355,16.5381172409772
356,17.7441554355594
357,16.7442959614512
358,17.1562513782792
359,18.8238538570483
360,20.5675573875684
361,20.7125889114229
362,18.6220872301285
363,17.1079081500575
364,17.409429557314
365,17.1677519000015
366,17.6007721077501
367,18.0846399814743
368,19.7210535498478
369,21.4570857821671
370,19.2720795080783
371,17.6137957617494
372,17.3452402867508
373,18.1953590837028
374,17.918744031054
375,17.3284178484653
376,17.9394380605203
377,18.2764494636041
378,17.4701695633427
379,18.3752497751645
380,16.9926773767702
381,17.1994947643939
382,17.600583718001
383,18.0513585549063
384,18.5490222363159
385,19.0894534200445
386,19.2463432389741
387,18.9531330187062
