Patch Number,Myocardial work value
1,5.41844419009413
2,4.62647553170947
3,5.51252414465111
4,4.71577097568922
5,5.7485297579276
6,5.91048394664505
7,4.85643026719738
8,4.81844741226274
9,3.85375640660192
10,5.90957296511084
11,5.71627959297795
12,5.399426972327
13,5.69233176011254
14,4.46832988573137
15,3.67172267645373
16,3.53890413752974
17,4.40155217407422
18,4.82858212117664
19,5.3174093916654
20,4.10653349783422
21,3.91725753552191
22,3.75158102611628
23,4.22432675721324
24,4.75961821531018
25,4.55382679272877
26,4.8655172390229
27,5.33346363805404
28,4.18378840285002
29,4.00580322086195
30,3.85161030582343
31,3.72109538316645
32,4.2060385778796
33,4.71627184522358
34,3.61099311614416
35,5.45018758592271
36,5.48484800328469
37,4.68896975947778
38,4.1127560563752
39,3.96963868822228
40,3.8502221624033
41,3.75411927342701
42,3.47707687629254
43,4.03609021389753
44,5.49912044358764
45,4.66149161391576
46,4.23592968537734
47,4.10322584282122
48,3.99416423425211
49,3.90830416488819
50,3.5870386973761
51,3.61977730679896
52,5.40754924871452
53,5.76357783380987
54,4.74826446793948
55,4.24967645601074
56,4.14997166815064
57,4.07330541903337
58,3.70664207967578
59,3.74378770882807
60,5.5522049885863
61,5.2958227747926
62,4.74848746347769
63,4.31444946124466
64,4.2456861855737
65,3.97561965199474
66,4.1547712380596
67,5.47231799839584
68,5.26359444324737
69,5.14169974164121
70,4.84607582255188
71,4.48046251542216
72,5.43353247891188
73,5.29549127169801
74,4.8769976427277
75,6.0756015061162
76,5.9441093119463
77,6.37188866458307
78,5.78627885747609
79,5.24872914222865
80,5.06362148475235
81,6.31356424342927
82,6.30746022178527
83,6.37039634965927
84,6.17078070847689
85,4.75348040001696
86,4.59172787620588
87,5.15057390632831
88,5.46642787710283
89,6.40725464510801
90,6.50605419969721
91,5.1931173259005
92,4.37119343854643
93,4.10483397002396
94,4.5005031958686
95,4.97024777476512
96,4.65536545350664
97,6.51677797442137
98,6.32935420314866
99,5.41489219455878
100,4.62832118145699
101,4.35259331884807
102,4.33722142530877
103,4.82036331016256
104,4.50694431548919
105,5.52898444908647
106,6.18768727732842
107,4.90497793548877
108,4.10744244202718
109,4.6995838860619
110,3.57793952421744
111,5.51097987252904
112,6.15413768594862
113,3.42987809253546
114,3.30081010869957
115,3.25561895365587
116,5.50710839585714
117,6.67519475699333
118,3.30981852479371
119,3.34226919231818
120,5.51621690062089
121,6.0632073215313
122,4.32278557095219
123,5.53709907261381
124,6.1012023137891
125,4.74031422758069
126,4.19625877166862
127,6.24057937826415
128,7.04038173780498
129,5.59209859652869
130,3.46996127853291
131,3.47407205860308
132,6.76987251336583
133,6.02143662678552
134,3.58164095006766
135,3.1871603552162
136,6.23276414557578
137,5.19469775536442
138,3.75686463968598
139,3.36233498656425
140,5.90294186067009
141,5.92121565645025
142,5.42453734502149
143,4.21045113606546
144,3.97759460854026
145,6.27781071516703
146,5.80566859340784
147,5.37237464084123
148,4.6554744275708
149,4.10204817499398
150,4.12198504717001
151,6.11957452679106
152,5.71798968830805
153,5.27489086977097
154,4.92980586176954
155,4.85923858764634
156,4.80979269748633
157,4.20716988392956
158,4.22472827366046
159,5.99449873428607
160,5.66066279484637
161,5.74556956430734
162,5.59781977131965
163,5.46734245100558
164,4.80126533950122
165,4.35621399174848
166,6.03331221138754
167,5.81659712843135
168,5.65493365474367
169,5.51100935087497
170,5.13936202118971
171,6.43022301750168
172,6.46788592954086
173,6.84207711146425
174,6.30186499121363
175,5.75636561220097
176,6.1381248956556
177,6.77415483282185
178,6.9405334682968
179,6.9406265515403
180,6.72307358799962
181,5.2219036196413
182,5.0637847100655
183,5.57247745839032
184,6.46058045756
185,6.88520236732384
186,7.09133033735469
187,5.72994906282635
188,4.90204611142773
189,4.85371130321754
190,5.28576625612986
191,4.12196259242222
192,6.99873544775975
193,7.20287449389051
194,5.94874149387724
195,3.97484898384796
196,5.45807509831409
197,7.12175031044514
198,7.15524830024932
199,6.18524029400595
200,5.54691885007805
201,5.44120681212992
202,5.40579183231397
203,5.11825646577741
204,4.20209575022712
205,4.1934520672512
206,6.16368685423954
207,6.57941167308278
208,3.1818469774945
209,3.84821699303826
210,4.44860690260789
211,3.13424902858372
212,6.51179102202004
213,3.08803478818001
214,2.90073725690663
215,2.76576417537763
216,6.88353173743383
217,2.96183512854984
218,2.8483829245872
219,6.93876349897326
220,3.03766363756632
221,2.94418799019571
222,8.06401425760547
223,7.68100520527603
