Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10"
1,0,-0.155074195405713,-0.274158669842423,-0.246554681620824,-0.344282916304208,-0.374333510863234,-0.339706415946321,-0.186512774527251,-0.141327231793854,-0.0688142278028302
2,0,-0.140364218152695,-0.260311284951043,-0.252196925317973,-0.33219054943737,-0.366047956650234,-0.340253586087515,-0.166848365148617,-0.104303230809355,-0.0689410911118732
3,0,-0.160723557404773,-0.266219640330583,-0.25931270851017,-0.346705198458007,-0.3794180861658,-0.35058332700331,-0.18330106138256,-0.113284052813239,-0.0699545142009658
4,0,-0.131059043368066,-0.240846255587785,-0.232777296961685,-0.310940539419866,-0.338813440310143,-0.319200136121161,-0.145630579521847,-0.104835076092372,-0.0945124327184758
5,0,-0.133891005276149,-0.247110164219614,-0.228688435896942,-0.316696468178956,-0.355241962413705,-0.331101693832227,-0.161211474327575,-0.0959280354205918,-0.075919023467843
6,0,-0.14195891315479,-0.19259493448623,-0.213723194042134,-0.310442675496701,-0.341654746308378,-0.326011185467796,-0.153305618044385,-0.0578265717132199,-0.111311020818246
7,0,-0.161775363758959,-0.274502762650758,-0.25731267839473,-0.345730132144599,-0.37634229638272,-0.344434108462168,-0.182887478064632,-0.133554332801636,-0.0739727177803381
8,0,-0.176407801971377,-0.284813200554302,-0.257127015343877,-0.386153031413183,-0.416108740605854,-0.369320567438286,-0.226440391077326,-0.134109728209097,-0.066303678691276
9,0,-0.162812345389089,-0.261318894490326,-0.233607172218738,-0.321265823470984,-0.370696386161835,-0.352622640312251,-0.177237845886212,-0.0872951095750852,-0.0838966965425854
10,0,-0.159640893537506,-0.212791957426572,-0.217031160215044,-0.303420189846211,-0.351580003905822,-0.341656962090615,-0.160408555098199,-0.0467373514642209,-0.108448691641961
11,0,-0.134440638529879,-0.193798380885147,-0.214796096715276,-0.298268657271018,-0.33506515380695,-0.318179402623907,-0.142456731053512,-0.0637474542091314,-0.105722868577474
12,0,-0.176375839696078,-0.271553700440047,-0.23346473202104,-0.350176157546904,-0.397565490429997,-0.361859460685863,-0.204368767755391,-0.104518827025131,-0.0805803086574187
13,0,-0.177148246683093,-0.28579344668068,-0.241725439716933,-0.392976799448117,-0.423170963169956,-0.361797114831775,-0.23271212268026,-0.145982316338008,-0.0666244305112317
14,0,-0.165779823046615,-0.250242275378848,-0.22947354093617,-0.304764781124166,-0.36880125934985,-0.359955652050392,-0.169604813890354,-0.0593360547120835,-0.0917386392001953
15,0,-0.157381567994194,-0.208883702575227,-0.217626481348326,-0.296413728816146,-0.348864824930117,-0.338256562195633,-0.15306609236655,-0.0466076061825238,-0.108510505391025
16,0,-0.144420945027842,-0.199678367028013,-0.209311538408243,-0.291035205845821,-0.343836005338155,-0.328801689912608,-0.146325167102731,-0.0539348804100724,-0.0977417498419096
17,0,-0.173431240960376,-0.265165050004514,-0.229589926175476,-0.342446271466194,-0.392925883053297,-0.35434700643638,-0.195210237067006,-0.103666581123345,-0.0825072927409977
18,0,-0.172838763814233,-0.27797784541139,-0.235310702738297,-0.385434844371361,-0.418951613687307,-0.350515897815588,-0.220566494586618,-0.143002049916227,-0.0687621160225683
19,0,-0.164055312214732,-0.244969224800278,-0.228051578829298,-0.29675677749406,-0.363259105206824,-0.355695374659912,-0.163305381575758,-0.060467338184088,-0.0935251484143447
20,0,-0.154105564615723,-0.204082890230162,-0.217782847195345,-0.288793585019627,-0.344922469642368,-0.333390629048203,-0.145328211705522,-0.0464638601319458,-0.10811438759358
21,0,-0.140346583341533,-0.194633191486896,-0.209021332708266,-0.283845445971503,-0.339655097327057,-0.323850079900095,-0.138348130388743,-0.0534321610559789,-0.0974366265730551
22,0,-0.169721960404846,-0.257959921641142,-0.225377798742739,-0.333928759337229,-0.387071058106479,-0.345215706002949,-0.185581200195109,-0.102575301086558,-0.0840111941173062
23,0,-0.16539818915018,-0.251827685667515,-0.241312474965262,-0.340145304098816,-0.380250224301869,-0.336353544166626,-0.176627584205033,-0.112435932919065,-0.0812387886391162
24,0,-0.161426964413792,-0.238824304433321,-0.226303425018518,-0.288113017307288,-0.356507500597637,-0.350007369517896,-0.15660483335836,-0.0615311030119426,-0.0948664822272992
25,0,-0.149839903103791,-0.198371328127393,-0.217460293957249,-0.280541614845447,-0.339655360272736,-0.327158823391772,-0.137238869397174,-0.0463035028554419,-0.107222989509885
26,0,-0.135256349838455,-0.188677260582655,-0.208256621045601,-0.276028606549622,-0.334187022332851,-0.317571959802163,-0.130034851205325,-0.0529010551501303,-0.0966658133893356
27,0,-0.159619570678259,-0.245814561609378,-0.203885062607179,-0.324431219349054,-0.370978597191028,-0.316614729318587,-0.165371274701038,-0.0880998960761196,-0.0851184922656167
28,0,-0.163332325570418,-0.234333928246033,-0.234531309008944,-0.310747868875907,-0.362655493412162,-0.333488511895897,-0.157582438653928,-0.075035711312994,-0.0935270372544525
29,0,-0.150829889248623,-0.224099765771375,-0.199587641181051,-0.293230161983837,-0.354407709015437,-0.318769311706026,-0.139394159891325,-0.041718030841026,-0.0886604657661181
