Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10"
1,0,-0.0864646512733311,-0.138882391731489,-0.113761082913871,-0.293291295519315,-0.276561600228581,-0.267899636381395,-0.17347855270252,-0.150605872394308,-0.117553148171922
2,0,-0.0598038101789777,-0.115480720311386,-0.109616044435196,-0.297522234128896,-0.278859749838225,-0.251662202191796,-0.150891830242673,-0.119541630924377,-0.0949892970302462
3,0,-0.11399041688114,-0.163975915716505,-0.14663216049318,-0.307947869567362,-0.283612539793257,-0.290728570701652,-0.172377648897569,-0.152541632708439,-0.120730564420046
4,0,-0.0416878620705545,-0.0882843641503114,-0.0885308193816868,-0.302042740141807,-0.288835733687296,-0.224610860189521,-0.151434911130684,-0.122861637313437,-0.0962057805105573
5,0,-0.0365089253921015,-0.101964079492605,-0.107896250108207,-0.301719845434692,-0.29140341848029,-0.222510178759424,-0.146560543271101,-0.116792606096253,-0.104250645143463
6,0,-0.062531223947384,-0.097059561772175,-0.0942721762857558,-0.282062010223533,-0.27723409798701,-0.197054549970979,-0.149795116599926,-0.113030330068031,-0.108864743595145
7,0,-0.0336973558153464,-0.103151689773643,-0.120597274698282,-0.303451346674582,-0.289539454231211,-0.203695201914323,-0.145653725701836,-0.121824073473317,-0.118795200568342
8,0,-0.0897146745336995,-0.0948372238898524,-0.109604610839871,-0.257306366260365,-0.247190296779642,-0.153180217965115,-0.129648051299134,-0.0832829697668287,-0.100141624617039
9,0,-0.0716960247262834,-0.115346231353059,-0.114655409369297,-0.319539320778056,-0.293075245044753,-0.255160790672367,-0.160814691347415,-0.15254523142925,-0.112564756414151
10,0,-0.1318253124486,-0.173772221257846,-0.146300642921717,-0.311512616735944,-0.293546046764005,-0.293039777856877,-0.181300920396276,-0.152769158603522,-0.121734518189878
11,0,-0.0185384010465615,-0.0583266041469742,-0.0909418711154251,-0.331124714781989,-0.29376525080764,-0.210329534757341,-0.137695669222449,-0.136913080323643,-0.0919924250212384
12,0,-0.0593502855640227,-0.0733608211308355,-0.0944500892889109,-0.285711424235179,-0.258077936677973,-0.176488787085082,-0.135110290630111,-0.11511106241422,-0.0960555770638686
13,0,-0.105804636739916,-0.0900879503580224,-0.104580293564221,-0.245912905883122,-0.227107762968562,-0.146191874610447,-0.131744317526381,-0.0874582017390992,-0.0923059321300407
14,0,-0.0763835903811628,-0.108492283712481,-0.102714204124149,-0.319769426720055,-0.294062945831294,-0.250959637467025,-0.163570345725802,-0.148360259933348,-0.10369070473741
15,0,-0.15197524258928,-0.177413625167099,-0.133565737914844,-0.302359247480521,-0.281546607379218,-0.280060695943142,-0.180761834588577,-0.137079810055069,-0.106304825032282
16,0,-0.0246736839711224,-0.0526464372510883,-0.0796296536053034,-0.331397872172539,-0.291880985926968,-0.208763994710886,-0.144017038979347,-0.138135324148701,-0.0861329154226235
17,0,-0.0650306551844769,-0.0697847960049824,-0.0858415560189044,-0.284887240781545,-0.253146759826899,-0.178230252004524,-0.143175961366905,-0.121928663898924,-0.0917238937181275
18,0,-0.11107610184571,-0.0892152222739226,-0.0986155947996373,-0.24423226084407,-0.219620231448111,-0.150963029727211,-0.141829858078537,-0.0996853848686099,-0.0897790595779057
19,0,-0.101100119509517,-0.126404804050564,-0.115131885314611,-0.328335298729846,-0.286663537832726,-0.259789186404097,-0.168469165205052,-0.138610358554917,-0.092890112614805
20,0,-0.17991384645236,-0.201298949354307,-0.112517218185296,-0.281258716837592,-0.266644745665877,-0.256044215917077,-0.191542750079756,-0.122225602383494,-0.0965894874132298
21,0,-0.059465892714449,-0.0852374869142124,-0.0952340158613266,-0.329075632187897,-0.282943581727655,-0.229861969809203,-0.159181345383512,-0.146716378051752,-0.0934667052445549
22,0,-0.0713623853722676,-0.0667031121947615,-0.0778177932914019,-0.283638964729007,-0.247325100714625,-0.179621691696367,-0.150927105464768,-0.127627779869666,-0.0862471392199068
23,0,-0.116834329433944,-0.0886928459406532,-0.0932354055258374,-0.242161176432683,-0.211108719745295,-0.155641385506951,-0.151456776795538,-0.110942601205065,-0.0857682697547041
24,0,-0.159337180835316,-0.199152142922597,-0.111104164427696,-0.297613810461721,-0.283723213958025,-0.246461922121658,-0.195020802722896,-0.116930476076925,-0.0901957896224023
25,0,-0.0923718090576763,-0.125301978168971,-0.111294722803388,-0.326033327643831,-0.282241064799263,-0.249652707165798,-0.178393350809113,-0.151361721493457,-0.101793845544973
26,0,-0.118163532723531,-0.111624356613608,-0.125210153557355,-0.293440668783943,-0.216370548520799,-0.226650098859331,-0.157768234743274,-0.138167158331037,-0.0831013787495604
27,0,-0.150723673500576,-0.1229639168648,-0.13762840085922,-0.255162902467989,-0.184354839171609,-0.208851546993382,-0.152004711917865,-0.132627281449639,-0.0816947848106808
28,0,-0.166792712276733,-0.208877475110821,-0.138476465860492,-0.304938631188567,-0.260450732639173,-0.245863741709463,-0.186421258306568,-0.126124975199601,-0.0941995515712974
29,0,-0.170483216244364,-0.181296873419061,-0.169859238989317,-0.294414041665825,-0.203924378942357,-0.265255691504507,-0.160762268899918,-0.141477570733433,-0.0851520581453405
30,0,-0.0966564964593735,-0.166303193016483,-0.145749421750987,-0.262927171856361,-0.257265842692541,-0.241412263374155,-0.157831448189026,-0.118983385808395,-0.143096996439481
31,0,-0.0301902062919793,-0.128022281964744,-0.164845582858979,-0.303370844358462,-0.278434415265088,-0.226663218880174,-0.126462049040879,-0.102180884580635,-0.114488227229803
32,0,-0.0531682403390729,-0.151532397720227,-0.148352596041056,-0.291914688914393,-0.275915170432018,-0.269257649851117,-0.157600011135848,-0.131356927497923,-0.127484194538137
33,0,-0.0623287906731654,-0.122189543657631,-0.141370560876494,-0.275734917355374,-0.276362850745847,-0.192144856241942,-0.129906685130735,-0.0740174093805591,-0.115223712665332
34,0,-0.0762949091953387,-0.151193820409973,-0.141123812226624,-0.292670780133332,-0.270559342402773,-0.28353290322769,-0.163235414388763,-0.135291900198025,-0.115867623113226
35,0,-0.0517230139105017,-0.127281127259383,-0.136806665972342,-0.295831938188051,-0.272203874904469,-0.266394724563675,-0.138017866931396,-0.097685992887402,-0.0879374404579911
36,0,-0.112457494679115,-0.17473113335771,-0.161650757930905,-0.290556460122009,-0.255720335522215,-0.299733222118479,-0.161858867425914,-0.137775182381168,-0.109618520827564
37,0,-0.0343333137864339,-0.10249454728418,-0.116583633518872,-0.301350051209536,-0.284470400488153,-0.240833004644316,-0.138759461044732,-0.0992992469960096,-0.0906696103644428
38,0,-0.0451092084305765,-0.123148361791464,-0.137666882027566,-0.297404446061412,-0.281806430419153,-0.228309385564792,-0.145553941396632,-0.123155154691879,-0.125474222441374
39,0,-0.0556389272767421,-0.114079844850698,-0.134616326643981,-0.285476274601452,-0.280973767039132,-0.192922663636052,-0.138037664989792,-0.0980647384599403,-0.122167000998974
40,0,-0.0858098582536002,-0.110246425625849,-0.145438756687524,-0.26080303621807,-0.260643184363827,-0.144130761042272,-0.115850563381157,-0.0568626113505176,-0.104572744712669
41,0,-0.0854121625694331,-0.133310854123875,-0.121872263247381,-0.294890871333332,-0.269537606909991,-0.277984469498303,-0.155490947991145,-0.117946696541427,-0.0878579424163937
42,0,-0.175901565807706,-0.203516964558038,-0.157290485838162,-0.267561972028745,-0.226953049393154,-0.293233101723891,-0.17440668338086,-0.145287689549036,-0.120311246197247
43,0,-0.0605000417701225,-0.0978902940930543,-0.132844431177857,-0.279437725824234,-0.264501386127791,-0.161834671911972,-0.1237421718623,-0.0892363996604041,-0.107487144113085
44,0,-0.101052817540695,-0.104509835093048,-0.13954039570423,-0.251433435461439,-0.248666774059591,-0.131823741968997,-0.117253549273158,-0.0584551261536901,-0.0981135969594681
45,0,-0.175527138685704,-0.188965198258575,-0.145081564967973,-0.276119314253559,-0.241268883709479,-0.278208914959746,-0.171659589329851,-0.134568126009149,-0.113283537430822
46,0,-0.105564660038739,-0.104110309799602,-0.13302966024666,-0.25061341486482,-0.243978612885654,-0.136393693946178,-0.12874145193756,-0.0731521075391524,-0.100117747710589
47,0,-0.168577503004124,-0.179642665719736,-0.137350504950459,-0.283333681728734,-0.251751483391243,-0.276905706010409,-0.171993692042449,-0.130345271953301,-0.103751685144714
48,0,-0.110411240237176,-0.103883258417198,-0.126751527030044,-0.249357097676044,-0.238070086665679,-0.140995628940498,-0.139989965554492,-0.0871963343602827,-0.100704042601022
49,0,-0.142309625333173,-0.145723209652945,-0.119815906683936,-0.302943238613251,-0.268292988816829,-0.266457509892529,-0.156944511854141,-0.0985821974512248,-0.0642728595843236
50,0,-0.13264047272203,-0.128167670039044,-0.127484749238031,-0.243982657037877,-0.223396087352439,-0.165333146686803,-0.153602198900741,-0.112702122602108,-0.10682019639399
51,0,-0.118961458691405,-0.115833652553126,-0.0755381065532881,-0.30456645001459,-0.272810124683073,-0.226641348109911,-0.15445607416162,-0.0828830364386405,-0.0448811736734945
52,0,-0.152589922173278,-0.155756103882998,-0.0974460886962506,-0.218524411108077,-0.21152752120454,-0.180516800502331,-0.171477096635223,-0.136161891614381,-0.115892203491935
53,0,-0.116645587395017,-0.129615148050465,-0.0682109316245372,-0.296936581987316,-0.28058568598708,-0.204236573019891,-0.171424260068132,-0.089230711760754,-0.0556986753432966
54,0,-0.169282136266881,-0.169636322110112,-0.130243570673547,-0.232787931007711,-0.191167420119922,-0.217159950359502,-0.164574574095673,-0.146205368900752,-0.1033488161039
55,0,-0.147985336732019,-0.132871472563991,-0.0912901291621211,-0.287394227864939,-0.237504937542575,-0.232655980002188,-0.150628451085883,-0.086204322524597,-0.0303070390164043
56,0,-0.0804638784120861,-0.0597035158300609,-0.0459144923042452,-0.31263567185173,-0.271754672494316,-0.208779940354543,-0.138389614397337,-0.0783073138336715,-0.0224800565220665
57,0,-0.131687080760888,-0.108238211443637,-0.0880442301594506,-0.320655295491632,-0.290635379141142,-0.241052710635431,-0.149222462077011,-0.0639085251807583,-0.0242556033924191
58,0,-0.0822441344112577,-0.0602448000184955,-0.0544773265997435,-0.311405609024325,-0.248359372090909,-0.210252075904061,-0.145401761339164,-0.0902680422207591,-0.0252305756796621
59,0,-0.107803577994443,-0.127175490563461,-0.0891304735417451,-0.315158911763366,-0.275519214999795,-0.21408347485245,-0.173173760720058,-0.112188165224579,-0.0707663198840337
60,0,-0.179062811139833,-0.169126022868504,-0.184139493920492,-0.276078185427649,-0.171777575465044,-0.264645680348415,-0.14048395819209,-0.140307031847327,-0.0745036468121876
61,0,-0.114930067261888,-0.0884528724418444,-0.083071284607924,-0.329821531449065,-0.258764558404838,-0.234338688307959,-0.142007434640276,-0.0674041849373037,-0.0100050219020759
62,0,-0.159537830757573,-0.18139272646576,-0.148849599572875,-0.294498375108485,-0.227398069111733,-0.242959172390882,-0.151705244223988,-0.130953717387019,-0.0839343900324905
63,0,-0.0614912913058389,-0.17698034944011,-0.183271384066429,-0.289376040343294,-0.262239784678739,-0.299856027460209,-0.155758850359008,-0.127235055003413,-0.129631265732953
64,0,-0.0285173328339726,-0.134760702302944,-0.17813623371772,-0.297278582405399,-0.268453418367336,-0.258986781159479,-0.113390664823148,-0.0682582608534525,-0.0829164621225366
65,0,-0.0625656475441249,-0.164029915705234,-0.175086572916138,-0.289599762169655,-0.257288997893824,-0.300564046075742,-0.141471351021385,-0.104503787934467,-0.100238389439193
66,0,-0.0270086626996492,-0.130286999883934,-0.165448255020045,-0.298270086420671,-0.278497522566839,-0.255165487574958,-0.126995153718762,-0.0776976924481504,-0.0976493296127766
67,0,-0.0251456255130453,-0.138129028139468,-0.17937746682319,-0.295269824375098,-0.275515462685603,-0.251445130021041,-0.119741033685493,-0.0654957814648496,-0.0944525378908502
68,0,-0.0480883145480596,-0.1291923745619,-0.164831286872298,-0.282664234672906,-0.274427672396666,-0.218795526052032,-0.11793590280154,-0.0557568078520195,-0.100605744816803
69,0,-0.0246580015203702,-0.134887719514345,-0.187240130094045,-0.297249860491126,-0.273244751723733,-0.219229238694658,-0.111617288246165,-0.0653722040635814,-0.104197845816245
70,0,-0.0723727137244173,-0.110455143861816,-0.169972969470454,-0.261518543906832,-0.259877398398363,-0.142334475333867,-0.0812487335588337,-0.00452532862156541,-0.0753357251351231
71,0,-0.0673373889611935,-0.160359582774451,-0.16642708079842,-0.291696429769286,-0.262932291598571,-0.295876844202326,-0.14898533877178,-0.114197562207257,-0.106254387230389
72,0,-0.0992323291953403,-0.180450061534067,-0.183917045846792,-0.289273548868717,-0.249330207543042,-0.308202623775421,-0.148227464908581,-0.12277830204002,-0.102346564798927
73,0,-0.0223521000996109,-0.116274638452695,-0.161356010233371,-0.314771289175344,-0.279916624790644,-0.242808403206257,-0.116509041319379,-0.0962127745877763,-0.0941180515419241
74,0,-0.0489099943062521,-0.105699198572872,-0.162930494812789,-0.280338671592776,-0.266564559152057,-0.158202046081988,-0.0921855021130615,-0.0424011995929824,-0.0876800055415876
75,0,-0.0681799512004119,-0.132379379051586,-0.169269844221817,-0.271963840859532,-0.276339381889615,-0.180268334044285,-0.120551501991979,-0.0603653193769683,-0.118524172910943
76,0,-0.0748574861242548,-0.143536308365783,-0.148359309136545,-0.293372509014273,-0.262621445372508,-0.291664769993805,-0.142526318425444,-0.100864207774762,-0.0827628248114571
77,0,-0.148894126191615,-0.204173156581812,-0.180700947342311,-0.27395767672272,-0.231991593858318,-0.303992557913668,-0.162833256238799,-0.138926338439229,-0.118805221527446
78,0,-0.0659892285214362,-0.132287895437989,-0.159985863256665,-0.276893572887356,-0.281830961248223,-0.188667952550296,-0.135756386779223,-0.0820336721646137,-0.130492070830912
79,0,-0.085738937925143,-0.119847853611748,-0.171121802425997,-0.26244565947565,-0.267659200610032,-0.13742592081526,-0.110811641409452,-0.0447862072625272,-0.10684417687664
80,0,-0.136465444678497,-0.18158084055622,-0.176202777120925,-0.291321289126875,-0.25391504606468,-0.301847154652472,-0.153438193707573,-0.119336418441118,-0.0987428614133952
81,0,-0.100603789287087,-0.1138742832059,-0.165719891997228,-0.254436877212523,-0.261214938084261,-0.122238625042484,-0.112057024120843,-0.0438768659778902,-0.0998707282017438
82,0,-0.153904910299148,-0.183212400752467,-0.17466805736125,-0.290206015543395,-0.246311826103353,-0.295209293629607,-0.154767133224847,-0.122872617383752,-0.0952869335374905
83,0,-0.104907883508799,-0.114359484350934,-0.159475136610209,-0.254279296955084,-0.25861416151011,-0.126567205136961,-0.124568356892272,-0.0597392593876572,-0.104706800907706
84,0,-0.171867730752713,-0.177943646843973,-0.149704282268278,-0.276765659925532,-0.239130081584668,-0.276143963318764,-0.158809676493536,-0.111538618593312,-0.0924252111199699
85,0,-0.109457791708658,-0.114902850763351,-0.153217847329638,-0.253613245331998,-0.254670470123729,-0.130965793910167,-0.136901997716731,-0.0751817991467075,-0.108218749284852
86,0,-0.17247179192912,-0.174559929108472,-0.134848215479011,-0.26913794999978,-0.231069224309223,-0.275632569512964,-0.158440928821713,-0.108258254640386,-0.0773815225081997
