Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10"
1,0,-0.0957124127095168,-0.251856266822629,-0.342451326237775,-0.373452118682035,-0.25451556647637,-0.173534786620151,-0.0621633598990182,-0.0255548652516268,-0.0123310244485105
2,0,-0.12615278680417,-0.242280546773032,-0.376320309665157,-0.427048117199267,-0.276316044852852,-0.137860350620651,-0.0704170170920714,-0.0234684784018597,-0.0146968287906661
3,0,-0.0622720645899885,-0.211092303174131,-0.299644793950695,-0.359459288982535,-0.24582363622325,-0.170379682440596,-0.0478498553717633,-0.0338459542480591,-0.0119467983078353
4,0,-0.12859851765134,-0.230248134471184,-0.394617543018513,-0.458486291324679,-0.275600048618061,-0.111131030187457,-0.0628750470752912,-0.0231214612282463,-0.00992134205997619
5,0,-0.146845136465513,-0.25761624306771,-0.416823578997802,-0.480733114727057,-0.276824339272523,-0.0902620382439394,-0.0714117009218587,-0.0140838837383479,-0.0160301843755445
6,0,-0.13071541841666,-0.261424499951381,-0.410930893464504,-0.482508527426951,-0.271030256599383,-0.0846225566398321,-0.0662016106932564,-0.0160691975695137,-0.0149534991326848
7,0,-0.0468127287596586,-0.201415099794624,-0.302732664199804,-0.352252636006492,-0.23498175837169,-0.159501251049943,-0.0334331790999309,-0.0316647368978814,-0.00656375008121812
8,0,-0.0846469612417866,-0.236182694591063,-0.315782235647812,-0.361339306566586,-0.242362501667558,-0.179190965808878,-0.0571731948355182,-0.0320152899354995,-0.010913530021368
9,0,-0.0939088912664916,-0.199316643053964,-0.364527681323898,-0.434548409225447,-0.265904180960391,-0.116214764938212,-0.0417449520312526,-0.0275281150455056,-0.00280135871864251
10,0,-0.11769145339455,-0.219414217390622,-0.399983664900536,-0.469989124676943,-0.281042510077025,-0.0967045606436067,-0.0551358891783186,-0.0239407570951939,-0.00299213828199152
11,0,-0.087971869231779,-0.206736256950951,-0.373828882555448,-0.448908549667614,-0.269175817681856,-0.0890792311803154,-0.043891929027026,-0.0201431719419467,-0.00100006536566966
12,0,-0.106862109520232,-0.255209524046785,-0.335553008915987,-0.370813246715241,-0.248373134493016,-0.18478298882059,-0.0651729008696496,-0.032038650665741,-0.00924891930265315
13,0,-0.0680913756434994,-0.222179602294166,-0.291890521416462,-0.356565445239292,-0.23986966119683,-0.189487556011447,-0.040800393009311,-0.0367133995814297,-0.0111279012739194
14,0,-0.0796120909323007,-0.203448113018041,-0.32979376454538,-0.392472902451758,-0.242914804828136,-0.148031348089113,-0.0355898918616478,-0.028163415703365,-0.00231857538558466
15,0,-0.0691694122379287,-0.17841708396116,-0.339557751158173,-0.410455557646391,-0.25099164134852,-0.124917740183031,-0.0216876668984782,-0.0254372226428725,0.00475059758864527
16,0,-0.100729416823773,-0.197583457394324,-0.375517606470869,-0.476040281566298,-0.291508371558631,-0.0951893082518287,-0.0462182804879802,-0.0333128883280843,0.00343913136137375
17,0,-0.0989512360435317,-0.191314682388267,-0.384576750701535,-0.482084121037294,-0.294791709205674,-0.0856310219263539,-0.0442373792336391,-0.0278213862359904,0.00661268980889629
18,0,-0.048377150699951,-0.204256399257962,-0.300000249868847,-0.374698419874121,-0.232330040319658,-0.16925563778058,-0.0129144498309521,-0.0269927341304301,-0.00725691532866235
19,0,-0.0297842400225857,-0.199600467893778,-0.275810686377286,-0.343370811804733,-0.217145083401717,-0.174775826194707,0.000335788934251235,-0.0214336694616387,-0.00952157536223941
20,0,-0.063377530574663,-0.193613251408966,-0.319737020485117,-0.40083699980423,-0.241717651812433,-0.147248026711825,-0.01586369797722,-0.0264566093560594,-3.69721312748483e-05
21,0,-0.0730059581345129,-0.182090671173091,-0.337330895653577,-0.412183848193354,-0.249406694812172,-0.126786489192569,-0.0187557400385847,-0.0243206787373297,0.00770108262717883
22,0,-0.103501780071472,-0.218461681065503,-0.379192342159175,-0.508056385948449,-0.302490799726281,-0.118875215677471,-0.0433945613879589,-0.0296619436774513,0.00446403722162247
23,0,-0.0860889826383249,-0.190772644406846,-0.374386963648397,-0.469433490231076,-0.286905745039201,-0.106073181581994,-0.0294596707548646,-0.0220739347642475,0.00955851638495431
24,0,-0.0498748690247698,-0.219529884818978,-0.318500129954577,-0.409513082187104,-0.227398777560499,-0.163255555964974,0.00206764615382249,-0.012799114618992,-0.0118189488219519
25,0,-0.0498738049769557,-0.198898984321854,-0.314996381485011,-0.398730953267458,-0.235730135692664,-0.148469809665807,-0.00326734880764312,-0.018556240610338,-0.000459652237026265
26,0,-0.0793995633810392,-0.212961136864783,-0.341702472445317,-0.451182805593714,-0.264404057770399,-0.13833244183228,-0.0237539170624226,-0.0243712065852747,0.00341921429361691
27,0,-0.0974239519731771,-0.231364609882638,-0.36183391596702,-0.498655225109864,-0.292018932921625,-0.127344111643321,-0.0431887987896507,-0.0253062164311274,0.0041651969969716
28,0,-0.0466033820046288,-0.21431521242101,-0.298234377968522,-0.364330232763542,-0.219827771168564,-0.14420788836215,-0.0149527534873979,-0.0212371152404383,-0.00598043353784028
29,0,-0.0966131119816612,-0.226998005603738,-0.332167103727043,-0.439206726523709,-0.264897806967031,-0.121969501370939,-0.0535918882160006,-0.0376363833551828,0.00242756345578377
30,0,-0.112347570770724,-0.25176439361274,-0.331895231319745,-0.461752165676756,-0.27494609498111,-0.111369977261392,-0.07819859317095,-0.0409693945589746,-0.0014591319252939
31,0,-0.12786708102442,-0.256995124669973,-0.322116748791902,-0.404440906841441,-0.228950543705612,-0.166616727421842,-0.072088041915042,-0.0308996538429267,-0.000691672292263745
32,0,-0.155052640012637,-0.262488722232653,-0.348505336977687,-0.429466841223618,-0.228211070894554,-0.165816111557943,-0.0804904743515784,-0.0240053079717107,-0.00556018572557493
33,0,-0.100446853543052,-0.236522056297729,-0.286257045733532,-0.367882654602627,-0.209288977111348,-0.184470609177269,-0.0446660177967045,-0.0328643326597398,-0.00196972278414698
34,0,-0.142670893432856,-0.24141892823673,-0.337724950128537,-0.460950311226606,-0.231475253381376,-0.14113342376863,-0.0600307918077937,-0.0170923190245584,0.00324607398391019
35,0,-0.087918586704586,-0.227482948886974,-0.320970255628263,-0.421018291712316,-0.253034546607564,-0.128466755650816,-0.0495520686848306,-0.0358517072429899,0.00317737317582623
36,0,-0.0787720052132231,-0.223286676814061,-0.306288029362054,-0.368646986944772,-0.224550335912887,-0.146109240134575,-0.035873704703975,-0.0273256207944673,0.00122119048182889
37,0,-0.133650295754855,-0.254236856701499,-0.377227539806629,-0.490206479693412,-0.291488029773641,-0.111207059924447,-0.0847659323161097,-0.0369662017142004,0.00209654098178125
38,0,-0.0957240250478283,-0.235399228757637,-0.297621617268326,-0.418805748331935,-0.221919057360889,-0.160145104110405,-0.0279980724967186,-0.0216678388700203,0.000426730122111696
39,0,-0.0903532125549936,-0.222720000112727,-0.277536431827413,-0.386472961128034,-0.194673990368825,-0.17150631779594,-0.0169675503359308,-0.0199887680152034,-0.000223558924762779
40,0,-0.10921409070557,-0.247428473555917,-0.317067383764409,-0.466153149901236,-0.236738674979205,-0.172278674658749,-0.0175258747482838,-0.00859226425959625,0.00878226126543336
41,0,-0.0729219544554174,-0.226454831829823,-0.330644986816904,-0.422763236688232,-0.243106779208976,-0.13030383802376,-0.0259545856623186,-0.0189282295751252,0.00183947330758483
42,0,-0.054414582529434,-0.208889775351166,-0.307614037646374,-0.427706483902811,-0.229809898838469,-0.138629925646616,0.0120543363964785,-0.00287828716177851,0.00517571250379345
43,0,-0.0998431145728134,-0.237162812326716,-0.359719371561731,-0.467543570926401,-0.26983555483515,-0.122839625904663,-0.0499232677656478,-0.0254483825078363,0.00617956780732132
44,0,-0.129334741314193,-0.243648038403518,-0.395780599146019,-0.492453085370551,-0.301884979903116,-0.110925114552365,-0.0810845554584807,-0.0386307237390295,0.00668417713555791
45,0,-0.111785327039266,-0.267374825506804,-0.322360236065288,-0.449765927537313,-0.220755371812166,-0.186406812033879,-0.0234133296507845,-0.010805830104229,-0.00227097585739233
46,0,-0.0415226109043224,-0.210155647326932,-0.296876850526932,-0.387373820249489,-0.22164030322566,-0.117044202120934,-0.00946121041685632,-0.017834206067655,-0.00202891045362841
47,0,-0.085625025649514,-0.226112566941225,-0.332676359637574,-0.419072978534434,-0.250900993509859,-0.119071195375169,-0.0516833996260194,-0.0371351451335257,0.00564759723795727
48,0,-0.10895412253697,-0.229699228020153,-0.368874255112024,-0.477785983278633,-0.294406903897009,-0.121181308619296,-0.0619383542677686,-0.0366979155788807,0.0147470479885685
49,0,-0.0949391183455789,-0.21290585482314,-0.36208876618625,-0.487663066711166,-0.313687537898646,-0.120789683330471,-0.0522023798699033,-0.038062207142772,0.0169096000550104
50,0,-0.0641618072920369,-0.210204305863623,-0.308658192386433,-0.397421157596867,-0.239458670781778,-0.117540315045591,-0.0293536118452769,-0.0307875919108207,0.00780718778895451
51,0,-0.0555332591476357,-0.218641628503962,-0.282732330260176,-0.353570787407117,-0.212228573117824,-0.111101887121382,-0.0408106278276009,-0.0366165303826044,-0.00392947349479811
52,0,-0.0959606351621801,-0.221354273818525,-0.34362557754038,-0.492115438687973,-0.300020397834874,-0.13478430012304,-0.0489056912442453,-0.0366501082765412,0.0224167779788476
53,0,-0.0982765063195771,-0.223549635593077,-0.363216080556188,-0.487736911422692,-0.31811164260534,-0.123389739630213,-0.0701352126425325,-0.0474423192816373,0.014908202806369
54,0,-0.103564350862175,-0.249789283256188,-0.319200146064705,-0.418366702558976,-0.209069977211526,-0.160250779625091,-0.0324781032631323,-0.0119514853779467,0.000291863715678797
55,0,-0.141148674097013,-0.26165256344999,-0.33956639581039,-0.424843764391262,-0.2160565455951,-0.172478312948561,-0.0776878393934277,-0.01853468587408,0.00387662338350747
56,0,-0.0850506400533562,-0.224229778999671,-0.290839732489352,-0.382389481177807,-0.203629770170132,-0.15002532529409,-0.0170833924296919,-0.019755145120857,-0.00198157140746091
57,0,-0.114393135443661,-0.251389564173167,-0.324886392336257,-0.471489007676609,-0.217409606245523,-0.163771531335579,-0.0325724126844148,-0.000564725491187024,0.00903735696712404
58,0,-0.111419330007453,-0.235283671479326,-0.346720323975242,-0.460853595436497,-0.229520660447178,-0.141867457733029,-0.058453331778046,-0.0111586180702282,0.00172882220962034
59,0,-0.114382421257923,-0.249932299872738,-0.32665094060604,-0.437865770742304,-0.231736589977806,-0.148804520733858,-0.0602852318901702,-0.0178492001631708,0.00787819256540989
60,0,-0.0557587925755862,-0.214560694694224,-0.314016543731627,-0.43053145309197,-0.249463222702166,-0.115091904250506,-0.0155003212386335,-0.0154841456188861,0.0065973516231661
61,0,-0.0838480177352984,-0.225452258200443,-0.313306183616775,-0.417639888788901,-0.24454168234804,-0.128846362194501,-0.034361573131626,-0.0210699856077432,0.00850467415823863
62,0,-0.0795895601473413,-0.224598610143591,-0.338225205513586,-0.46359120484185,-0.273843693736772,-0.120356174689462,-0.0436354542421221,-0.0292174641906016,0.0128580312084716
63,0,-0.0979051060825593,-0.229538185522955,-0.3613471732953,-0.483315518520332,-0.313994873335884,-0.123931368333316,-0.07768144735472,-0.0504338166150191,0.015506676984262
64,0,-0.103884272194215,-0.241138330683539,-0.371820341051576,-0.534292314442759,-0.34912292314317,-0.149725998202792,-0.0961408966694943,-0.0692756324804531,0.0148609801783857
65,0,-0.0786927317064369,-0.230072368463037,-0.317703827620354,-0.469040887260502,-0.204502471532974,-0.147697077839801,0.0177608542252956,0.00751966645465196,-0.00402919542925462
