Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10","Regional strain value, cardiac phase_11","Regional strain value, cardiac phase_12","Regional strain value, cardiac phase_13","Regional strain value, cardiac phase_14"
11,0,0.0495467263533895,-0.00332902267413826,-0.0286754518692257,-0.129783921044748,-0.111834402592683,-0.0891197498729331,-0.046937819442627,-0.109457696517174,-0.117944068260836,-0.100175661688247,-0.0588137825964163,0.0510517218276918,-0.00632709626043815
12,0,0.0662118251216965,-0.00963992667344948,0.0144991812492559,-0.134922507203783,-0.0942877240242374,-0.0753510251875493,-0.0312287270309886,-0.0985554237789774,-0.119132594451556,-0.0975982102271798,-0.0581461318752645,0.0619410285982387,-0.00344919079145622
13,0,0.0591594748303397,-0.0139214658106037,0.00794463844622917,-0.129845929788194,-0.0966146935530459,-0.0794197585736455,-0.0372316072893123,-0.100652299668628,-0.114061449750608,-0.092697468109052,-0.0505848130508909,0.0563097106201118,0.00316754134855657
14,0,0.0385190533750108,-0.016339515044529,-0.0439774290242883,-0.152212367124769,-0.122901716064956,-0.090612343929055,-0.0428613115618234,-0.104991810619792,-0.118702981565783,-0.0977527089183935,-0.0684662501047331,0.0401197370722655,-0.00849122856277118
15,0,0.0348635378535738,-0.0167039351759768,-0.04896971675136,-0.135563341231581,-0.122900307355776,-0.0923196534982723,-0.0480508132405927,-0.10485215897958,-0.113789703650883,-0.0907005486164907,-0.057382371699957,0.0389969302979585,-0.00572568981300736
16,0,0.0506910736958852,-0.0268575237233445,-0.00882792206932803,-0.148561079016579,-0.114184736411762,-0.0827028465508362,-0.0405480095732752,-0.0997881902160609,-0.118091817389971,-0.092221865887537,-0.0548663233010453,0.0541409057592257,-0.0111371884820928
17,0,0.0531884716905944,-0.0233301055587891,-0.00991286610521269,-0.150448732890601,-0.104444322245588,-0.0731828264744832,-0.0313582824727525,-0.106116404796556,-0.11351437616237,-0.0936354458539919,-0.0498630859555836,0.0478212319870726,0.00306800333642188
18,0,0.0254418940455408,-0.0406678719991111,-0.0767826677653554,-0.172968051195353,-0.139867485758675,-0.0866838296446061,-0.0534655334693565,-0.118516282441833,-0.123232924408797,-0.0986569388100921,-0.0544059523361224,0.0405266117212075,-0.0146243621970757
19,0,0.0355657927731123,-0.0419653735183885,-0.0591969916325317,-0.167181285415933,-0.128525990418669,-0.0816006182296843,-0.0509453355459847,-0.126298436799352,-0.126276283332442,-0.10314470324854,-0.0529768702248735,0.0424868576804414,-0.015080972721125
20,0,0.0549973224712639,-0.0274118057028926,-0.0173710600482075,-0.167578532982411,-0.112622706522093,-0.0679669125268281,-0.0302015810632552,-0.113214701245385,-0.115564056615321,-0.0975375046469518,-0.0586966019317797,0.0399625967190971,-0.00395712861583764
21,0,0.0495939941331611,-0.0266515319328813,-0.0219340974767815,-0.153064162443576,-0.1120274265261,-0.0736816038608018,-0.0387219640961151,-0.11673927181452,-0.111252830507676,-0.0941477817962778,-0.0556448305894965,0.0302345896965917,0.00239508416356449
22,0,0.0262532603897436,-0.0567347602082662,-0.09467455563479,-0.204963415963956,-0.151020570502806,-0.0768476940513203,-0.0589794383740244,-0.138155805676413,-0.133666739648679,-0.111192712509999,-0.0581131858132137,0.0398076192928694,-0.0257603770606631
23,0,0.023705457138987,-0.0489439260643408,-0.091112213611708,-0.196145595463827,-0.153240533775514,-0.0844686194750891,-0.0641195650209813,-0.133962097749146,-0.127548326702646,-0.105565660045569,-0.0694600505181611,0.0334752933932996,-0.0247596939204124
24,0,0.052990794236135,-0.0228420122243864,-0.048410680158254,-0.176051683312472,-0.135249482438302,-0.0786671147509195,-0.0609567502319398,-0.144287544854221,-0.124164617599873,-0.109378790891879,-0.0781968527523275,0.0259600026975497,-0.0150745379936691
25,0,0.0588782105101031,-0.0210892662679103,-0.0283269353444777,-0.170239805500428,-0.128808641997854,-0.0757538520770414,-0.0564017984568279,-0.13715435443999,-0.11762294756362,-0.104358341140571,-0.0751096486494641,0.0242880386315829,-0.0128747279861213
26,0,0.0521743854671788,-0.0325262531502032,-0.0240874047242543,-0.170291619393735,-0.121821919274856,-0.0691093899690665,-0.0407625291227788,-0.122613725323757,-0.114140180955651,-0.0983719255676805,-0.0644367808965673,0.0243891504388656,-0.00944132598080605
27,0,0.0462183297700451,-0.0327000807491622,-0.029966764288658,-0.157000115019007,-0.122388181539458,-0.0770904478873202,-0.0508939472803531,-0.126890255589603,-0.111649389922642,-0.0966980111901441,-0.0626980094659388,0.0135225280617939,-0.00420749619105709
28,0,0.0389505972230098,-0.0414526203778002,-0.0810834073116926,-0.189692133802337,-0.151192044892253,-0.0813935848974376,-0.0723427932605099,-0.154994580767797,-0.129752193579958,-0.112873822394788,-0.0857037376499569,0.0173321947785323,-0.0286232933430557
29,0,0.0102647176895667,-0.0718546925960537,-0.134610905444194,-0.198472261157956,-0.162078457952388,-0.0815797790491465,-0.0755375566135909,-0.155508741476114,-0.135504765700501,-0.11150643055965,-0.0770450644602352,0.0152674581057011,-0.0356525514172049
30,0,0.0655213603106204,-0.0147072503965329,-0.0347837196196953,-0.18549226672166,-0.142819257185846,-0.0778844164022374,-0.0712792713504307,-0.156747424044425,-0.121147531286321,-0.112109044223585,-0.0980688017765988,0.0122563476078836,-0.0198433905780401
31,0,0.0631170469330713,-0.0157641336405907,-0.0384538895057214,-0.174903994214978,-0.142439892870068,-0.0816227490830969,-0.0781642113724363,-0.15963729759216,-0.11882850770852,-0.109987756110824,-0.0938055276513273,0.00618922675246192,-0.017089748656568
32,0,0.0556960504796939,-0.0274354650478519,-0.0368262182939927,-0.173392404434586,-0.138060571488736,-0.0779523806249408,-0.0681017470025465,-0.145980792144315,-0.116594656726167,-0.105179960627614,-0.0803638327792831,0.00865360222635236,-0.018036887113684
33,0,0.0485533694446254,-0.0380752602083316,-0.0316597242465404,-0.172318954004354,-0.130987313455196,-0.0715740751558958,-0.0520560303772267,-0.130709864544758,-0.113843662061015,-0.100616841754714,-0.0706221494611076,0.00832398301429871,-0.0165433216029641
34,0,0.0461043993451202,-0.03827735650597,-0.0317827381740738,-0.159453870605125,-0.136860512690492,-0.0886388974319595,-0.0753960389197719,-0.141300120467537,-0.115715453287922,-0.102937202501474,-0.0777004046844826,-0.00297628857231824,-0.0133661010542719
35,0,0.0294475737357991,-0.0424579887114107,-0.080537100985273,-0.189324993035093,-0.15333271354546,-0.0765287362668216,-0.0592089873215423,-0.129998125972261,-0.113558569275222,-0.0921510719525879,-0.0754025362515671,0.0139266486246779,-0.0207270118801953
36,0,0.0182781101445832,-0.0625943841079467,-0.112176540571446,-0.205500568494806,-0.158759714061099,-0.073354359219546,-0.0638234808139563,-0.14449885043232,-0.124339078404739,-0.102515497904933,-0.0816087242462563,0.00964034962891414,-0.0290387242543857
37,0,0.0481418193111507,-0.0304558925256713,-0.0588160514413275,-0.192322086658777,-0.15540959756617,-0.0778076739295768,-0.0720012362333737,-0.145429884428376,-0.114731724074187,-0.100358862277547,-0.0877206934132032,0.00866882508579137,-0.0230974669561229
38,0,0.0621113115271892,-0.0223269523438526,-0.0438099280795142,-0.189100852436449,-0.151523452987812,-0.0796209521621086,-0.0831681197770525,-0.164892203016591,-0.119051117535913,-0.111452365159984,-0.0999193713207978,-0.00159490538245632,-0.0236106664859986
39,0,0.0466488916512768,-0.0303927887342622,-0.0523409432213683,-0.176371874008015,-0.162736722947461,-0.0919341070424644,-0.0867777975391089,-0.14018439959414,-0.110504060387477,-0.0959324820786995,-0.0817754399917336,0.00227603229728301,-0.0182552975742603
40,0,0.0403354241874225,-0.0500634006546621,-0.0384355200192431,-0.172380110852513,-0.15072723314959,-0.0824405712817954,-0.0730923198768414,-0.128307121995454,-0.114320412565629,-0.0955915370706558,-0.0745234421705488,0.00656885230497517,-0.0241548429873023
41,0,0.046020169501497,-0.0463197547201614,-0.0308234809710596,-0.172790750322663,-0.149372779636849,-0.0913221931554056,-0.0870064649740635,-0.146583233354661,-0.119680518672507,-0.108110182509779,-0.087649179806956,-0.00810470497232429,-0.0255753729523547
42,0,0.0170612546568447,-0.0583404648084646,-0.101208940981489,-0.20291482096484,-0.163917317267977,-0.0704739218716437,-0.061298982113776,-0.126971737960594,-0.109391878188199,-0.0857236163889347,-0.071069746706438,0.00848612732575349,-0.0266677375783415
43,0,0.0428939349224819,-0.048326339483548,-0.0815489973362958,-0.205008413789453,-0.163250573374782,-0.0729474456333764,-0.0832711941315355,-0.16504867732485,-0.123160427395424,-0.110336448865394,-0.0932055597120766,-0.00230097646850758,-0.0372689497678172
44,0,0.0546705258577864,-0.0401991344592546,-0.0385346868873209,-0.207228050476337,-0.166011522130182,-0.0797041879855109,-0.0814670189602837,-0.148316345212324,-0.118997682492914,-0.107315578986981,-0.0977192638688994,0.00339812804144568,-0.0360104159405021
45,0,0.0256332113779838,-0.0586018690280353,-0.0591977878540627,-0.184312084431366,-0.156680099496077,-0.0716222151130423,-0.0557973987288727,-0.11315569209507,-0.11113560131906,-0.0862060283250459,-0.0618993916749018,0.00933823443201653,-0.0256295432786413
46,0,0.0255143481189228,-0.0655562072926887,-0.0556814027088852,-0.178075566987439,-0.161278402850882,-0.0818079721776906,-0.0727300172182231,-0.119288135996201,-0.113554901018998,-0.0900852131680535,-0.0649617178656827,0.00754784018636445,-0.0269189708789305
47,0,0.0382000386386827,-0.0491800700210453,-0.056913950584937,-0.181495013021874,-0.168021222993364,-0.0993325987221675,-0.104326989005894,-0.152193741045414,-0.117587033849988,-0.106314521294632,-0.0882001683254509,-0.0172418723992223,-0.028020739979931
48,0,0.0255765545636464,-0.0546786450978883,-0.0917573125364105,-0.202752796758693,-0.16536166140302,-0.069209042720212,-0.067240681057856,-0.136160542958457,-0.107999131344835,-0.0883345611749744,-0.0756016687472039,-0.000366875342678541,-0.0270877926088727
49,0,0.00174800675049402,-0.0693251868828343,-0.112333366955004,-0.19287256840965,-0.149787242725793,-0.0543577854535811,-0.0434581953126671,-0.117311593754067,-0.0999439489383773,-0.0719214477582087,-0.0566351551901093,-0.000929168987737539,-0.0181789272337786
50,0,0.0379814732373671,-0.0523503260794242,-0.0641325357451914,-0.209136074695766,-0.163973806506336,-0.066345067484473,-0.0671336638290511,-0.136602762305692,-0.113755031042304,-0.0975234871807756,-0.0850629838082126,-0.00137199816623756,-0.0372935230951607
