Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10"
1,0,-0.113070624216627,-0.181363836714213,-0.278833929842164,-0.35047453726641,-0.268577639475266,-0.145051264642426,-0.134149460571975,-0.0541878494703213,-0.0623880826346507
2,0,-0.129874150230377,-0.172255047554918,-0.28089561615084,-0.373993898848497,-0.306016440148467,-0.144905251013899,-0.131718383734711,-0.0603210459816029,-0.0673274958820187
3,0,-0.0846760310018899,-0.187122431444489,-0.293181502730316,-0.344895957581375,-0.271273522758428,-0.131935333828116,-0.11703932984658,-0.0479250235605301,-0.0519604598296737
4,0,-0.151941946854929,-0.177887987962071,-0.296177472539937,-0.395282659061197,-0.321256654271043,-0.143924767133721,-0.131201032567598,-0.0635304041729584,-0.0718782416713216
5,0,-0.141131584842466,-0.168760863265193,-0.290557374057887,-0.386019151142028,-0.310711892369821,-0.141313869212651,-0.119413692999062,-0.0631763714417531,-0.0653952467631926
6,0,-0.132286009220232,-0.176097306287905,-0.296490936676997,-0.380862081943046,-0.289510224125386,-0.128937792041214,-0.099847975665867,-0.059112435204186,-0.0584094539824506
7,0,-0.128519299898971,-0.16743572927316,-0.301527905307905,-0.381722023373856,-0.321142861729658,-0.144635667471859,-0.129190880068541,-0.0635975510275921,-0.0668415446057984
8,0,-0.0947222316871462,-0.173045536035937,-0.293506352780078,-0.356181719007511,-0.293432176910327,-0.133118855439394,-0.117653245317369,-0.0505057072342601,-0.0575917226928406
9,0,-0.143737301858988,-0.180027975447811,-0.300713429381899,-0.384917454156956,-0.301915511158564,-0.147007322516365,-0.137258303857667,-0.0671993306887004,-0.0653319578644374
10,0,-0.133628902723157,-0.186636228048404,-0.28858002763299,-0.375615686137956,-0.250915422814297,-0.141086481762708,-0.125033694120109,-0.0626544486337175,-0.0641873663030151
11,0,-0.109854998032828,-0.179849326348586,-0.283737123516226,-0.362955677351354,-0.225010504106659,-0.126512870557977,-0.0935719142376445,-0.0568716204190348,-0.0548092605117786
12,0,-0.129400230639219,-0.136433323303079,-0.2798439053367,-0.374811367867112,-0.299625742012979,-0.138391401629968,-0.115504803994466,-0.0566504475614359,-0.061883380460804
13,0,-0.117887785089193,-0.181138419943358,-0.292192252889069,-0.357097668809283,-0.250711839721454,-0.136198395120246,-0.121704520294651,-0.0570230426188191,-0.0508817296296271
14,0,-0.109580567009962,-0.206682989581144,-0.287324381595682,-0.358347682670434,-0.180478895489842,-0.12682057404103,-0.113608244146059,-0.0511898809563306,-0.0410795803089715
15,0,-0.0985740968407313,-0.149434300987127,-0.259305053495645,-0.334259430444857,-0.207339922913653,-0.131532374562759,-0.100295374372781,-0.0440393193807784,-0.0512535663706958
16,0,-0.10391066495876,-0.171942412117391,-0.272592219921402,-0.348519658693328,-0.269249782065566,-0.13432730068077,-0.115016860994154,-0.0522318101840213,-0.0542866384996917
17,0,-0.116428936875607,-0.139819902533818,-0.246409098985047,-0.352767118559229,-0.264894341222242,-0.132388106104234,-0.104158843241779,-0.051021024285318,-0.0604703114641051
18,0,-0.106297980033811,-0.170251514989568,-0.269461498563309,-0.357290396832369,-0.284774480895516,-0.128157477398064,-0.111918189174124,-0.049838544556135,-0.0520743905999247
19,0,-0.140539387133388,-0.166943004131132,-0.292561541551178,-0.391107295279739,-0.321944574213374,-0.135780864583059,-0.114455086621453,-0.0609328038545511,-0.0630144273300046
20,0,-0.113687664445205,-0.123426836604795,-0.248534856624546,-0.354416000920617,-0.255767693431707,-0.130654622455471,-0.078420687076574,-0.0429069253184823,-0.0603605767485341
21,0,-0.116027433440505,-0.145107123265601,-0.27480960829684,-0.369155925632655,-0.278857783920365,-0.123189884285045,-0.0811186152579403,-0.0443921937169238,-0.0548888412677807
22,0,-0.111453808798795,-0.17701047431391,-0.274997761640808,-0.360870356815619,-0.284377050124121,-0.133601299436723,-0.123257881064539,-0.0514049122366904,-0.0573760653431717
23,0,-0.0852215481262358,-0.188490752353361,-0.293292748535573,-0.360845644439879,-0.286412036363192,-0.121249400828982,-0.108234248050957,-0.0474610136984474,-0.052318192072298
24,0,-0.130716915654813,-0.17053933626596,-0.291725948432538,-0.379801247079816,-0.294486135791463,-0.134395518651595,-0.107895965940867,-0.0614115847250203,-0.0598873583744669
25,0,-0.112532701354372,-0.173803026090325,-0.295782033468194,-0.370673518432204,-0.271996554749294,-0.113194735087152,-0.0751787428937901,-0.0516608422909007,-0.043097353124201
26,0,-0.0740439471286045,-0.189084138779889,-0.296022046057857,-0.350735243290067,-0.273337277007793,-0.120701791334521,-0.107242841776207,-0.0443307942359652,-0.0528516180786307
27,0,-0.0999162686891316,-0.167228910769075,-0.28292231438246,-0.34746686062559,-0.249512085133448,-0.112018556650963,-0.0702929928622046,-0.0529384786319637,-0.0393546310084508
28,0,-0.0784239277189205,-0.180691403408211,-0.29190452635393,-0.3464523133481,-0.26272364694299,-0.117210906714979,-0.104316070528994,-0.0407235560203829,-0.049030990808363
29,0,-0.0761780128522993,-0.166325028540938,-0.265972313705258,-0.313022548507705,-0.18660922510284,-0.114533053668465,-0.0708783241478352,-0.0427892523596235,-0.0306848896004617
30,0,-0.11790165137091,-0.162431829259055,-0.290360831313234,-0.378768711498403,-0.306556501415918,-0.133265003289407,-0.124461796734761,-0.0555729275116509,-0.0619846703568977
31,0,-0.0905405003447516,-0.150906338264,-0.276611878554664,-0.341441565733926,-0.257372670077723,-0.110409927758083,-0.0854003338935171,-0.0342886972506996,-0.0472487784613085
32,0,-0.0946030314061276,-0.216038033846973,-0.291922198129983,-0.357666919367763,-0.174109694688575,-0.12211875102837,-0.102145044782605,-0.0560876311882493,-0.0397830716304521
33,0,-0.126496829162088,-0.117865087396191,-0.254511813490675,-0.37143575091933,-0.27544614661897,-0.122094614410928,-0.0887001185982039,-0.0444660826035013,-0.0605850217983569
