Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10"
1,0,-0.102993314602479,-0.0937711802826539,-0.224827510839029,-0.324568418214236,-0.329481919567738,-0.21669994811155,-0.158399362883934,-0.0288615207239354,-0.0104955643479856
2,0,-0.0992357991566334,-0.0875053532758361,-0.212617624377712,-0.317121111584741,-0.339787286087487,-0.222280441547345,-0.152995975250075,-0.0439747901885974,-0.0163769729385012
3,0,-0.097810458469893,-0.0826848069836915,-0.225247582564035,-0.327482501359451,-0.330668898478592,-0.21243947742797,-0.156517463351494,-0.0390127450011958,-0.0120157101502346
4,0,-0.091878069286617,-0.0920398201858138,-0.20068000157869,-0.31764478072692,-0.366924138054666,-0.189130640083062,-0.126315361400542,-0.0895152722624936,-0.0138455832951069
5,0,-0.106886669287618,-0.0943493230232045,-0.221397437282116,-0.317627301853788,-0.343965982292923,-0.213546237135127,-0.136003546419512,-0.0643666654185405,-0.0264745394030389
6,0,-0.0931171430510861,-0.0982242400384228,-0.202751660960841,-0.318935482305196,-0.359368361989551,-0.191759445875828,-0.130406029797474,-0.097807611036311,-0.023095818380734
7,0,-0.112216077651789,-0.0960951956443373,-0.24995205102848,-0.334844144442394,-0.319132201062644,-0.200949848221426,-0.146260786515191,-0.028431077809985,-0.0146284236524516
8,0,-0.0938088140738115,-0.0899644850628053,-0.221705483206333,-0.325740208972149,-0.33069455818145,-0.198134576454848,-0.146529766495188,-0.0380184644440872,-0.000691293703182216
9,0,-0.10905539608959,-0.0984581564846784,-0.234723385516465,-0.325387744719914,-0.350987535010501,-0.186273848974779,-0.117301819052066,-0.0702285726036748,-0.0158207457993756
10,0,-0.097856199517408,-0.101243090520004,-0.213307294554671,-0.320387323455864,-0.353435536451179,-0.177501749754205,-0.114835781724054,-0.084206612820042,-0.0162373791216673
11,0,-0.109034580191749,-0.120822397081334,-0.221742709811727,-0.31969559878463,-0.341700718336556,-0.198590854137766,-0.12733319015593,-0.0613529071715111,-0.0214260346916733
12,0,-0.0905361655716965,-0.0956312445406807,-0.21600619460008,-0.323001390933188,-0.334942713072772,-0.191074894012854,-0.142025422151444,-0.036172398666626,0.0104311761254836
13,0,-0.0910623529062693,-0.0929551410106184,-0.226871486021137,-0.339905245374763,-0.319752731806628,-0.206234851719234,-0.169715745675964,-0.0313732117203116,0.00619759893751803
14,0,-0.104684586750032,-0.0977452412477576,-0.233702394695573,-0.323381303620569,-0.337440194393381,-0.174934937994629,-0.112600475601483,-0.0446973851734874,-0.000589222983983229
15,0,-0.117806747324127,-0.10491599201767,-0.253910670546226,-0.325656530935028,-0.332806669303208,-0.174588772727836,-0.102307222589524,-0.0435998434041088,-0.00847836098214361
16,0,-0.114753595163896,-0.110684811067443,-0.243730954245535,-0.325116575657208,-0.340889996734651,-0.179641017638657,-0.109873271362792,-0.0599745915650813,-0.014808528326991
17,0,-0.117356622719536,-0.1305236543901,-0.241744556098941,-0.320569801379465,-0.334700489164289,-0.189672043481315,-0.115468883479907,-0.0340696145820298,-0.0115129946797622
18,0,-0.105717876854019,-0.12429005458657,-0.220701499466186,-0.319597567564984,-0.336660485256152,-0.186839065248835,-0.119240099873209,-0.0645782045431623,-0.0192456584738542
19,0,-0.109516609522274,-0.126299998281658,-0.222692744464775,-0.319435020742267,-0.327689172740141,-0.206660354620437,-0.134642381344859,-0.0619689352653007,-0.0282427264703863
20,0,-0.106989959937967,-0.127216991905339,-0.219418759252833,-0.318302212288978,-0.326564757735896,-0.195990711520096,-0.127535166323612,-0.0770950994045907,-0.0309619273934613
21,0,-0.115851405523968,-0.106574142196443,-0.25573906799036,-0.35860338351628,-0.34035612011655,-0.177075348926297,-0.151341233359025,-0.0658572356825069,-0.0109106374938794
22,0,-0.0957158531815008,-0.101668931412421,-0.230290822648424,-0.348316546780447,-0.321602971525541,-0.186176562194163,-0.160789184929042,-0.0445383686392896,0.0054770238880979
23,0,-0.117800859952002,-0.106412533725147,-0.256131529927771,-0.341879344241818,-0.33805417200695,-0.166327430405476,-0.119486022719859,-0.0590462146083309,-0.00623435174629161
24,0,-0.115493011835853,-0.108081666284662,-0.251904059679726,-0.323563357446048,-0.329233177402204,-0.160591411834567,-0.0931374848687772,-0.0405588725843962,-0.00112410647075545
25,0,-0.124480427011916,-0.116865322043666,-0.264149649542194,-0.32442091054522,-0.325004543947138,-0.168224996629056,-0.0959434274408624,-0.0350348761011294,-0.00763656489393694
26,0,-0.134438233487252,-0.125966003544954,-0.276484843606632,-0.325228486147533,-0.322724894222126,-0.178060566713445,-0.100276664602461,-0.0317939602168493,-0.0149528475587942
27,0,-0.12904611121092,-0.130775919067008,-0.262313157090919,-0.325255949726758,-0.331247204493568,-0.187760099408549,-0.111797346370184,-0.0520770984410073,-0.0229006653316902
28,0,-0.112612222290254,-0.128844000647797,-0.233003491874735,-0.318833250388016,-0.326941449747012,-0.183317118488178,-0.114009817418878,-0.0671184833183073,-0.0255787827901393
29,0,-0.113909494000798,-0.107636500330324,-0.230129055540552,-0.318315543584469,-0.316117758494485,-0.195922786363816,-0.117950527162991,-0.117587021229173,-0.048644112963402
30,0,-0.109019344061211,-0.110126168425767,-0.243552100405903,-0.347048480535952,-0.326822402410477,-0.161439706476848,-0.135296390268387,-0.0571087682891753,0.00219396489471979
31,0,-0.107836860594539,-0.111446274151989,-0.244627879140736,-0.329130280567698,-0.315223535767675,-0.162446457583118,-0.116127517603599,-0.0307749060058528,0.00948223104101986
32,0,-0.113115357972327,-0.110761364579426,-0.249086885964071,-0.320417766463083,-0.325137076318328,-0.147088158784112,-0.0846907334130571,-0.0375894667956596,0.00563512076044481
33,0,-0.139359167373518,-0.123320059027012,-0.282872137078043,-0.348596697822245,-0.34191265550492,-0.160867809642456,-0.112287901925121,-0.0794887310234985,-0.0198520892060633
34,0,-0.153132803352623,-0.13971391376496,-0.30303498600354,-0.362792243803052,-0.337170082396854,-0.164221642196681,-0.124331023341985,-0.080642102983193,-0.032564927259184
35,0,-0.149871922267509,-0.143879788044232,-0.294538081911132,-0.33766045275189,-0.321788665218628,-0.181217322984234,-0.120454482039471,-0.044959466216995,-0.0253886689543479
36,0,-0.13124711819253,-0.117873141788758,-0.262162627313403,-0.324765784468477,-0.328153646770228,-0.182664545848068,-0.105241682270251,-0.0887253952800874,-0.0355953050110493
37,0,-0.124464020908998,-0.123213779697152,-0.242959313960181,-0.321262871087942,-0.322813112329238,-0.195751919066552,-0.119572011525185,-0.105392512946185,-0.0440986318610603
38,0,-0.119462419085927,-0.123325019754717,-0.258376052756742,-0.350541355546723,-0.320456249712464,-0.156164473984716,-0.134212723858419,-0.056632550587468,-0.00287631172514158
39,0,-0.108334238728221,-0.114947931441954,-0.2394971986664,-0.344420828103925,-0.316664473590621,-0.148517656047745,-0.127685311641756,-0.0596440512946609,0.0047628284705612
40,0,-0.1308329795769,-0.117362042725288,-0.265992513893789,-0.349888151488056,-0.343614050682133,-0.149274290203863,-0.118409795165949,-0.0993806405811045,-0.0145205717114538
41,0,-0.143532636386466,-0.120814848694753,-0.275740565729438,-0.359615160223555,-0.354742404770557,-0.142933106337121,-0.115449136048802,-0.134528032096014,-0.0314531145342732
42,0,-0.13973358524591,-0.142124411380406,-0.279149134330152,-0.345090956276932,-0.311028218102031,-0.151007379753562,-0.119773893594287,-0.059329860797074,-0.0200122140636677
43,0,-0.148542321958998,-0.152040106003641,-0.288565019493718,-0.343592636635363,-0.312635845815911,-0.167624307477717,-0.130883378652729,-0.0571297423877891,-0.0277719947609638
44,0,-0.154884248113477,-0.137955094674702,-0.292857251400061,-0.357563721246872,-0.339849367958544,-0.175478741556439,-0.126117809975001,-0.133752953093559,-0.0483394376927083
45,0,-0.160612574177991,-0.147838250107543,-0.298364898282649,-0.331983031825411,-0.327339193308414,-0.198359714095705,-0.119535979061645,-0.081670375875593,-0.0408619168552816
46,0,-0.112710845790187,-0.12271232180087,-0.243993685664984,-0.338810484397033,-0.312166215761006,-0.130134990711224,-0.109258547461193,-0.0572474787069845,0.00341218965423762
47,0,-0.128993231190554,-0.119251052125231,-0.250719471082971,-0.347437365278973,-0.337965595373969,-0.141528958225838,-0.123424550632597,-0.122932011129559,-0.0199920738147003
48,0,-0.125240388328923,-0.119462125230027,-0.253532007000452,-0.32467160285156,-0.322924754477801,-0.133783871089128,-0.0853212345509337,-0.0728933285810317,-0.00482995285333787
49,0,-0.14129014874555,-0.15037295484307,-0.282893699900332,-0.339370744822154,-0.309800953383463,-0.144957256922923,-0.107794949323222,-0.0605169025412039,-0.017535768075161
50,0,-0.15497995195206,-0.152603846548306,-0.301007289279079,-0.33888145279999,-0.323304163495915,-0.169491148682755,-0.112149719449151,-0.0749611914891111,-0.0268507673176113
51,0,-0.113750477507019,-0.121091869680951,-0.242029807039921,-0.32421876900459,-0.309624557071367,-0.117642471488194,-0.08482449515839,-0.0573396592661993,0.00762564116911668
52,0,-0.105625232599206,-0.0795078604590426,-0.218263869498623,-0.319119112646568,-0.322334539879958,-0.23986145209941,-0.176387276069093,-0.0286996195767655,-0.0251242142525793
53,0,-0.0885635034993587,-0.0837552179036209,-0.183197044217626,-0.307566691200666,-0.346933074941863,-0.240445040263021,-0.176528886006689,-0.0506059658251382,-0.0128122825312195
54,0,-0.094026379822997,-0.0684326621337467,-0.208774255963101,-0.316712310661065,-0.331419599065024,-0.238713170617748,-0.176570766055159,-0.0396848065034709,-0.0219722023640975
55,0,-0.104247972854596,-0.0962680450956046,-0.209655259815988,-0.315400049577678,-0.345337237200177,-0.230159246791155,-0.154666964993727,-0.0533576506486467,-0.0206245053104573
56,0,-0.0816158198459249,-0.0995386571707284,-0.168651037421284,-0.314315056697104,-0.36238599301105,-0.216451249124293,-0.17445687556405,-0.0701705166520253,-0.00894554472536768
57,0,-0.0935514251256746,-0.0950771584080606,-0.20255852483353,-0.316845747608662,-0.348844227470217,-0.219086163412377,-0.154871832779445,-0.0829264622873246,-0.0259241152271807
58,0,-0.0668433892735801,-0.0919977668258252,-0.156349418557643,-0.32285440954289,-0.365207506639473,-0.166486204661877,-0.157599109188118,-0.0969684632290978,-0.0110931386108278
59,0,-0.0575286736106525,-0.0605061326050356,-0.16971699935893,-0.309868720157666,-0.337446736113651,-0.160505380289606,-0.140047334327799,-0.129324780654116,-0.0343451824623745
60,0,-0.0926635747197536,-0.0766234174772202,-0.211406501590597,-0.321511842243705,-0.334184829826634,-0.226264098656866,-0.167531985430945,-0.0382543849425035,-0.0120620184319405
61,0,-0.0840937873246023,-0.0652459552008896,-0.207595191527024,-0.323587812323769,-0.331444521519373,-0.235405580554621,-0.183847100312159,-0.0370251628053551,-0.0110080963471499
62,0,-0.104889303395096,-0.0815214618481757,-0.237332916784027,-0.327340990635267,-0.3540878434739,-0.217573066741107,-0.148275892627858,-0.12461746456365,-0.0474538127598
63,0,-0.0855289048558738,-0.102057365612159,-0.192107343639154,-0.322017571659311,-0.343300952978042,-0.197554983138635,-0.158131542738129,-0.0922544219823506,-0.0277644206352651
64,0,-0.0821622469988522,-0.0737289263361977,-0.20329174357445,-0.322289328486808,-0.345257363147101,-0.213846115135561,-0.159669539754764,-0.0485883965232786,0.00065820967848973
65,0,-0.0776176677717136,-0.0663033956052708,-0.207481615977432,-0.332163281675467,-0.32810250053658,-0.234273006181571,-0.194211268294542,-0.0327667918608336,0.00170586615232104
66,0,-0.119393982226741,-0.129177727517726,-0.231889953060587,-0.32148198045174,-0.329425090490598,-0.220408584292221,-0.142127881575617,-0.0344499186203956,-0.0204057634001905
67,0,-0.104205931954992,-0.121776123970857,-0.217456589880787,-0.319500656480311,-0.326444010074614,-0.209532567541862,-0.141061758133523,-0.0626835590644034,-0.0246849146069161
68,0,-0.0684812783446771,-0.114866559741081,-0.157913706626157,-0.320963657050678,-0.327738273130393,-0.153149015107031,-0.143125366960344,-0.0746059124876454,-0.00899910276933047
