Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10"
1,0,-0.06431511569968,-0.107745368901825,-0.20451752010417,-0.269701020873955,-0.271518119594255,-0.183888798063931,-0.145794349871762,-0.088037905210075,-0.052853939447938
2,0,-0.0291726777183779,-0.090452567115379,-0.191345908267858,-0.249665238546706,-0.275229364832167,-0.150929158164935,-0.133040088924869,-0.0597405752695161,-0.0389740570421181
3,0,-0.0255347614415719,-0.0857153203061477,-0.169873154752484,-0.279847894559189,-0.295382633828714,-0.15640349232004,-0.142260793236244,-0.0536243227451709,-0.0571751857746182
4,0,-0.0686843880921905,-0.145271313157308,-0.239954506621812,-0.281109890129198,-0.269907420018928,-0.179103644965177,-0.147205477189906,-0.0902640233818579,-0.0391660405856242
5,0,-0.0204687479413008,-0.101365997307499,-0.19414056828424,-0.253355302218429,-0.270669596465432,-0.130114087127581,-0.114742511363164,-0.0366965431266989,-0.0197184559525826
6,0,-0.0354372436311885,-0.130304930378238,-0.219777774974398,-0.269363181699211,-0.266383774323775,-0.140055856654556,-0.121892854321047,-0.047497494293171,-0.0166239613195234
7,0,-0.0404111878676502,-0.0864541866876992,-0.160544508350356,-0.271337016359914,-0.267824093932226,-0.163778404260118,-0.151005237050185,-0.0622184963507715,-0.0490417284980545
8,0,-0.0546178325076627,-0.116052113760504,-0.194715395054663,-0.258316874213798,-0.245773422422999,-0.169772765884999,-0.160253266823362,-0.0824429882941817,-0.0372055280109227
9,0,-0.0414893779567918,-0.140377442899994,-0.226475987383333,-0.281682497510025,-0.27332076190983,-0.157316573419334,-0.136961600481559,-0.0583300612818272,-0.0280157977421519
10,0,-0.0330761650862311,-0.128925882171809,-0.219411691554241,-0.266799810362709,-0.259081820431815,-0.140979543862331,-0.122251090175721,-0.0463599783754199,-0.0115865781855972
11,0,-0.0313553733937089,-0.0792411084685397,-0.146386020422423,-0.244227631924697,-0.241027758169412,-0.153661239248228,-0.155905200779792,-0.0558862656540129,-0.0390171199867047
12,0,-0.061841015821785,-0.104366150468532,-0.198179195291013,-0.258142013629088,-0.260171109553108,-0.188271720223146,-0.170981310805565,-0.0937006758761377,-0.0521494837951118
13,0,-0.0132901981484724,-0.108096049994916,-0.182720796336027,-0.265176950710765,-0.268593594165365,-0.137514381648067,-0.129288568493268,-0.0284101810707391,-0.0343314679739687
14,0,-0.0384161038576741,-0.138491510686575,-0.226055752065464,-0.279616476352673,-0.266924566744748,-0.158355008331856,-0.136086824619998,-0.0566061121902678,-0.0224709666960605
15,0,-0.0451660327358618,-0.15453952850426,-0.249563787529825,-0.298119174792279,-0.27142053430451,-0.156636048225563,-0.127774711572981,-0.0562664454636832,-0.0108319033021066
