Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10","Regional strain value, cardiac phase_11","Regional strain value, cardiac phase_12","Regional strain value, cardiac phase_13"
20,0,-0.0650543548612627,-0.0547018514641359,-0.116170057532529,-0.168789117970809,-0.222862608932527,-0.292177227062067,-0.269548980990837,-0.181686796629803,-0.108831644575815,-0.0542306157244908,-0.0758381021652716,-0.0796176411285814
21,0,-0.0636886346738146,-0.0562024839126714,-0.117733894991725,-0.16737556020563,-0.24265973020395,-0.309220309461356,-0.297192872297413,-0.192236637176291,-0.105987396272476,-0.0451878491689599,-0.0704970654131523,-0.0685498168949378
22,0,-0.0583531126787912,-0.0486533157771274,-0.1233953209897,-0.156436017998674,-0.227818864727041,-0.303650053982807,-0.280953413349695,-0.170322678686287,-0.0999064091393158,-0.0175569437399694,-0.0416062693472218,-0.060391035028176
23,0,-0.0784621230620219,-0.0450824713046115,-0.106047033195491,-0.171810120827367,-0.233974634339182,-0.295029162685298,-0.28694229685034,-0.18637630870336,-0.125425298294437,-0.0603275476626752,-0.0747839141071558,-0.0876345966411236
24,0,-0.0693878847053599,-0.0472365827880492,-0.110853737827223,-0.177453997572294,-0.24448105802466,-0.304219629418752,-0.291385557120361,-0.190224511378399,-0.113190272703358,-0.0584250713513431,-0.0769909703824225,-0.0705134117645408
25,0,-0.0831843641326309,-0.0429484037796845,-0.126610473622923,-0.182990481603958,-0.229763507835031,-0.272897616008715,-0.259446457001721,-0.171255834952519,-0.139814439195963,-0.0769826812935944,-0.0923549379484927,-0.0865175060250066
26,0,-0.0742178975563945,-0.0467796469240763,-0.132826804282603,-0.187999812531259,-0.239871432471707,-0.279690984539311,-0.257478114423275,-0.17071018161569,-0.125171232778746,-0.0737651008078651,-0.093211999200644,-0.0667054419289937
27,0,-0.0775527611305744,-0.027539088003243,-0.126070475677921,-0.185850071522246,-0.219572735114811,-0.265890637630633,-0.232111645366394,-0.164905864631504,-0.135429954651636,-0.0747029510003034,-0.0853575951276497,-0.0741608025055143
28,0,-0.0631404123343556,-0.0288963662677926,-0.109554739483051,-0.158323390824658,-0.202958238296916,-0.283193913352257,-0.240857432715796,-0.145708737571986,-0.0926021358352277,-0.00129496103020621,-0.0212901152138443,-0.0554669824537585
29,0,-0.063134619118658,-0.0482984115550105,-0.120693694999159,-0.158018251472308,-0.222717796225,-0.293690100792479,-0.277856674157746,-0.169414424389402,-0.121153020321059,-0.040859735581632,-0.0557482838552836,-0.0837727281539765
30,0,-0.0755337644405689,-0.00971085674999672,-0.0975605171234886,-0.158081108562522,-0.220695260789664,-0.299249889674049,-0.26330038324097,-0.17452649377475,-0.113898915085109,-0.00627358283539325,-0.0157653132273746,-0.0698632254748218
31,0,-0.0819859108650899,-0.0175577932547927,-0.111196952118547,-0.17309641976344,-0.220099109535374,-0.279116774583177,-0.246481372011941,-0.174037484472263,-0.130042586195576,-0.0462911664840746,-0.0545144214728852,-0.0828962222635997
32,0,-0.0915314158256417,-0.0274366867969775,-0.128917191204776,-0.189527350508425,-0.219830202392094,-0.260434895503987,-0.232814298656328,-0.16878141977849,-0.148319207892509,-0.0858024524951043,-0.0933227537663061,-0.0957301553615795
33,0,-0.0865036209161555,-0.0203511131830258,-0.128422776840264,-0.193670910620887,-0.212100194651231,-0.254393421217889,-0.211103978366037,-0.16748985433901,-0.14468337375135,-0.0959904874558408,-0.0979262743765437,-0.0888356950555319
34,0,-0.0704025425773953,-0.0535266563414244,-0.11838656821965,-0.163310161197627,-0.221940171522476,-0.286002934995416,-0.27581275772136,-0.176139617228164,-0.140401940818995,-0.0674578580155405,-0.0782578836136046,-0.10860457718786
35,0,-0.0474567937634756,-0.0457766483084161,-0.132804796457962,-0.154886144858308,-0.202020479826623,-0.263862343111377,-0.23062290761974,-0.121072236164104,-0.108668268084749,-0.0153848432085213,-0.0366511977230609,-0.0551299765208724
36,0,-0.0773561457701626,-0.0255080565914039,-0.103415036302372,-0.156912859719265,-0.217848673823749,-0.290304447078345,-0.268740335894974,-0.168480196336215,-0.126131933001703,-0.0216661617948334,-0.0296324220125878,-0.0881370414443992
37,0,-0.0823623745267226,-0.00749793827091993,-0.0977408315573237,-0.159002140526105,-0.218086861183079,-0.291475148649887,-0.252120310392359,-0.171924779161562,-0.121264941059473,-0.0108823850482308,-0.0163506356433045,-0.0805200599720723
38,0,-0.0853022639692199,-0.00214438861968136,-0.0957868089660665,-0.164028598841305,-0.209499146235094,-0.280939244354355,-0.228969846142689,-0.171217719120381,-0.120393346834474,-0.0212923685519765,-0.0262990947898136,-0.0808936492207383
39,0,-0.0931688798449921,-0.0111083104548928,-0.111333883443616,-0.180182205942475,-0.211207816322001,-0.264415431317098,-0.219329412904203,-0.173566282253387,-0.136432741941882,-0.0626661691700684,-0.0661064069123385,-0.0963291344286502
40,0,-0.102943976901621,-0.0223486737741103,-0.131309028369693,-0.198248181704737,-0.213986285052626,-0.24993279888919,-0.212975586442926,-0.172564210852385,-0.155067806290104,-0.103912835685983,-0.105784360729521,-0.111360549795087
41,0,-0.101797328980688,-0.0293211882588719,-0.12559308487926,-0.208393375535471,-0.207034610362594,-0.240640412244038,-0.19943172536565,-0.16917781040285,-0.152375205070575,-0.130135385369603,-0.124886213269705,-0.117897154861282
42,0,-0.0702063000806831,-0.0303018414069027,-0.114792233280085,-0.15766284471517,-0.207747171910816,-0.276770081767077,-0.240953958667977,-0.139322065793743,-0.114782445025104,-0.00986325046973213,-0.0201510288847287,-0.0757455886136712
43,0,-0.0320778503328105,-0.044105961807664,-0.130091592564134,-0.14771670300971,-0.16666411156983,-0.210231150744544,-0.189290844037277,-0.0901180339857685,-0.120769528693714,-0.0464200145104487,-0.0563310679051983,-0.0709184289240126
44,0,-0.0861487903233785,-0.0133355413320078,-0.100399096871991,-0.155134328682673,-0.222809103268245,-0.293027533939309,-0.264401034978309,-0.170205562226443,-0.131096082213838,-0.00675124688496176,-0.00842666806342718,-0.0929348904034
45,0,-0.0904132350599135,-0.00779144658268938,-0.0980577489591602,-0.16087984250443,-0.216125733389259,-0.283905759241261,-0.241363004850882,-0.170153936040898,-0.128229085689657,-0.014801175980364,-0.017530726934224,-0.0921807180245042
46,0,-0.0949818037949858,-0.00314056747082514,-0.0968402269693825,-0.165846484796724,-0.208261564997045,-0.273971562243384,-0.218749375977322,-0.170319698161581,-0.126825204320705,-0.0248530707180696,-0.0280522351914132,-0.093046181534957
47,0,-0.09978599791687,0.000496120558070245,-0.0968514099288584,-0.169992586015967,-0.199435611715169,-0.263432795425912,-0.196787270044797,-0.170830317459379,-0.126947679429297,-0.0368377332538444,-0.040038105433486,-0.0955767576927401
48,0,-0.108499855358023,-0.00927815522348663,-0.114032239904376,-0.187095705894699,-0.203293246308541,-0.250326183026932,-0.193793209576556,-0.175576052989074,-0.14233460457621,-0.0787115227617594,-0.0802527844932618,-0.11296209823183
49,0,-0.117625700584582,-0.0270192627538859,-0.104708122812689,-0.198808217097633,-0.192863805718973,-0.235476372863434,-0.181465182448296,-0.168606869112846,-0.145907117102239,-0.110795801076603,-0.109057212293774,-0.132722992935765
50,0,-0.123043117601638,-0.030095209508446,-0.138635371179973,-0.217584584169964,-0.206486403453617,-0.232323785126304,-0.185589882352644,-0.177019398283052,-0.161359672520682,-0.143996258795242,-0.140801186071977,-0.138407382978105
51,0,-0.100696748665441,-0.0155551221946261,-0.125127353993681,-0.201822731015774,-0.191138245004791,-0.235360355134669,-0.164962366416087,-0.171990251071397,-0.146471194896931,-0.126507291854166,-0.117281804683435,-0.109410574893212
52,0,-0.123119158164073,-0.0216790115777946,-0.149805857884861,-0.21387076476779,-0.195312936400365,-0.226098617592931,-0.159101484729809,-0.18266418480414,-0.163727174091274,-0.152567725267243,-0.145049683011926,-0.134333508621163
53,0,-0.0663439671018511,-0.0275692248418065,-0.118242469903925,-0.156490024075575,-0.201714705346528,-0.273124087792,-0.216415599432509,-0.1198408431363,-0.117152854459045,0.0133286800750048,-0.00399808281351244,-0.0596468283594336
54,0,-0.0335241569960227,-0.0382824114755257,-0.119218668565365,-0.148201083809821,-0.153361124029635,-0.21000984692684,-0.177501992217672,-0.0708086255399272,-0.128428994254911,-0.0140375087777443,-0.0342957072898634,-0.0512405473998055
55,0,-0.0835664452201594,-0.018511019660341,-0.107461917109444,-0.158001497076953,-0.212732555991686,-0.280437619301459,-0.229471763648042,-0.148292610512203,-0.129454799977864,-0.000999989357297393,-0.008522489198169,-0.0857324509291473
56,0,-0.111358288791505,-0.00235027453317904,-0.0986390960455382,-0.172665191954457,-0.199046080808356,-0.257725363151705,-0.186979034866557,-0.172526423693201,-0.131609176605061,-0.0408608127621441,-0.0449129126751411,-0.107241604262412
57,0,-0.119066149028069,-0.00200762159927093,-0.10077883957946,-0.17585709985364,-0.190758323303852,-0.247068501727643,-0.167221880969468,-0.173281289110733,-0.133209869090421,-0.0524892252904746,-0.0570139242566414,-0.113759554016859
58,0,-0.125715109806984,-0.00138350316796332,-0.10413453860407,-0.178307047608882,-0.181421469307587,-0.236618063931405,-0.14776713568455,-0.17555015743619,-0.135537895172564,-0.0674355497265509,-0.0725119631689233,-0.119993245592569
59,0,-0.135123879282835,-0.0128755507344751,-0.125425062327636,-0.197749454702033,-0.189899330886531,-0.228871285435439,-0.153750887799134,-0.182406476110882,-0.148610555865901,-0.108291219160336,-0.111907697899562,-0.138478206127408
60,0,-0.144917195426968,-0.0275089668945051,-0.152665334882512,-0.220204608870928,-0.201214186706503,-0.22412081465494,-0.163604644701746,-0.189666383216207,-0.166070763502453,-0.150576925209921,-0.151124427023736,-0.156473813919369
61,0,-0.126923650402316,0.00105466145967648,-0.203980417003582,-0.226005245060216,-0.228879782088468,-0.244807728099932,-0.166483568916849,-0.230428073293896,-0.148298031261048,-0.155173036092381,-0.15276384800511,-0.129578119940648
62,0,-0.0557691924487799,-0.038899340062404,-0.120502507257919,-0.161628473243524,-0.180470479547007,-0.23986592558327,-0.18286695841831,-0.0944011590405145,-0.122928590535085,-0.0128328964703638,-0.0279756903743421,-0.062986938352828
63,0,-0.141338425180047,-0.00789365971549039,-0.107431544738794,-0.181417622989097,-0.182683301535072,-0.232232120645137,-0.139840745250409,-0.179079276077335,-0.138518998594202,-0.0700702094135681,-0.0791693615667957,-0.133280769733556
64,0,-0.151047973775857,-0.0108968362132664,-0.112827285489798,-0.183151749804094,-0.174723828449864,-0.222322192653753,-0.123058978884827,-0.181856875794542,-0.141518181491645,-0.0836127165848658,-0.0944888087533339,-0.143247956071744
65,0,-0.145707387652238,0.0109035504758115,-0.175566070785646,-0.20550022568019,-0.220034150042437,-0.248044646447848,-0.140024963841054,-0.231068974803405,-0.140542431181383,-0.0977673369984803,-0.116180152315664,-0.138053267309611
66,0,-0.10785700320841,-0.00496332051144355,-0.182067332241241,-0.219601915771921,-0.22744775378356,-0.243863791948325,-0.164961733156239,-0.214180362945565,-0.109154719733525,-0.12883523676505,-0.134509240206654,-0.129513012590197
